           RA_1          DEC_1      r_k20fe_1      h_m_k20fe         k_ba_1         k_pa_1     distance_1         Separation_1             RA            DEC     distance_2          H_mag
              E              E              E              E              E              E              E                    D              E              E              E              E
                                                                                                                        arcsec                                                            
   2.119116E+01   9.994520E+00   6.890000E+01   9.673000E+00   1.400000E-01   3.300000E+01   3.980000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.138085E+01   1.759030E+00   5.960000E+01   8.999000E+00   7.700000E-01   4.750000E+01   6.239100E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.261895E+01  -2.266721E+01   7.960000E+01   9.240000E+00   7.100000E-01  -8.250000E+01   1.950000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.283648E+01  -6.868060E+00   8.820000E+01   7.666000E+00   6.200000E-01   6.250000E+01   2.340000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.342051E+01   4.492869E+01   4.130000E+01   9.741000E+00   6.000000E-01  -2.750000E+01   6.700000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.346210E+01   3.065994E+01   4.999000E+02   4.721000E+00   8.000000E-01   5.050000E+01   7.000000E-01   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.357598E+01  -2.941849E+01   1.182000E+02   7.507000E+00   5.600000E-01  -6.000000E+01   1.750000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.376930E+01  -4.143620E+01   6.720000E+01   9.538000E+00   3.900000E-01  -8.800000E+01   3.900000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.417405E+01   1.578346E+01   1.258000E+02   7.419000E+00   8.600000E-01   8.750000E+01   9.700000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.575979E+01   1.364568E+01   9.470000E+01   7.812000E+00   3.100000E-01   4.150000E+01   1.180000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.687454E+01   2.733335E+01   2.850000E+01   1.207600E+01   4.500000E-01  -2.250000E+01   6.400000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.697718E+01   2.743278E+01   1.056000E+02   9.201000E+00   2.800000E-01   7.750000E+01   7.500000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.723879E+01   5.905980E+00   7.390000E+01   7.847000E+00   3.200000E-01  -8.000000E+00   1.950000E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.735358E+01   2.199730E+01   5.080000E+01   9.056000E+00   3.800000E-01   8.050000E+01   2.787500E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.738158E+01   3.258812E+01   2.830000E+01   1.259500E+01   3.000000E-01   4.450000E+01   4.600000E+00   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.762853E+01   6.145210E+00   4.060000E+01   9.731000E+00   3.600000E-01  -7.650000E+01   2.013300E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
   2.782320E+01   2.235797E+01   7.170000E+01   8.918000E+00   3.300000E-01  -7.750000E+01   3.436400E+01   0.000000000000E+00           NULL           NULL           NULL           NULL
