

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2015-08-18T09:58:42PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA(deg)|DEC(deg)|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Distance (arcmin)|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
193|MUNICS S3F5-1021|135.91550 |  30.12139 |G|335768| 1.120000 |PHOT|26.6R|  0.000|1|0|4|1|0|0|0
194|MUNICS S3F5-0420|135.91900 |  30.00575 |G|185871| 0.620000 |PHOT|23.7V|  0.000|1|0|6|1|0|0|0
195|MUNICS S3F5-0635|135.94192 |  30.05506 |G| 29979| 0.100000 |PHOT|23.0V|  0.000|1|0|6|1|0|0|0
196|MUNICS S3F5-0686|135.96492 |  30.06258 |G|221846| 0.740000 |PHOT|24.5V|  0.000|1|0|6|1|0|0|0
197|MUNICS S3F5-0591|135.97200 |  30.04486 |VisS|209855| 0.700000 |PHOT|24.0V|  0.000|1|0|6|1|0|0|0
198|MUNICS S3F5-0220|135.99021 |  29.95931 |G|449689| 1.500000 |PHOT|24.7V|  0.000|1|0|6|1|0|0|0
199|MUNICS S3F5-0915|135.99492 |  30.10197 |G|389730| 1.300000 |PHOT|23.8V|  0.000|1|0|6|1|0|0|0
200|MUNICS S3F5-1027|136.00025 |  30.12175 |G|431701| 1.440000 |PHOT|25.9B|  0.000|1|0|5|1|0|0|0
201|MUNICS S3F5-0943|136.00154 |  30.10633 |VisS|371743| 1.240000 |PHOT|25.5V|  0.000|1|0|6|1|0|0|0
202|MUNICS S3F5-0284|136.00971 |  29.97503 |VisS|197863| 0.660000 |PHOT|23.7V|  0.000|1|0|6|1|0|0|0
203|MUNICS S3F5-0738|136.01733 |  30.07361 |G| 95934| 0.320000 |PHOT|24.9B|  0.000|1|0|2|1|0|0|0
204|MUNICS S3F5-0536|136.02646 |  30.03344 |G|311784| 1.040000 |PHOT|24.9B|  0.000|1|0|5|1|0|0|0
205|MUNICS S3F5-0692|136.02696 |  30.06256 |G|281805| 0.940000 |PHOT|25.9B|  0.000|1|0|5|1|0|0|0
206|SDSS J090407.31+295929.3|136.03048 |  29.99148 |G|365747| 1.220000 |PHOT|21.6g|  0.000|1|0|21|2|0|4|0
207|MUNICS S3F1-0337|136.06387 |  30.04061 |G|539626| 1.800000 |PHOT|26.6R|  0.000|1|0|3|1|0|0|0
208|MUNICS S3F1-0300|136.07246 |  30.03003 |G|257822| 0.860000 |PHOT|26.1V|  0.000|1|0|6|1|0|0|0
209|MUNICS S3F1-0367|136.07346 |  30.04828 |G|269813| 0.900000 |PHOT|24.7V|  0.000|1|0|6|1|0|0|0
210|SDSS J090421.05+300626.2|136.08771 |  30.10729 |G|119917| 0.400000 |PHOT|20.8g|  0.000|1|0|11|2|0|4|0
211|MUNICS S3F1-0301|136.10333 |  30.02994 |VisS|221846| 0.740000 |PHOT|23.5V|  0.000|1|0|6|1|0|0|0
212|MUNICS S3F1-0134|136.14875 |  29.97967 |G|215851| 0.720000 |PHOT|24.8V|  0.000|1|0|6|1|0|0|0
213|MUNICS S3F1-0344|136.15912 |  30.04169 |G|389730| 1.300000 |PHOT|27.1V|  0.000|1|0|6|1|0|0|0
214|MUNICS S3F1-0638|136.17896 |  30.13672 |G|347759| 1.160000 |PHOT|24.3V|  0.000|1|0|6|1|0|0|0
215|SDSS J090452.79+300755.4|136.21997 |  30.13207 |G|149896| 0.500000 |PHOT|22.4g|  0.000|1|0|21|2|0|3|0
216|MUNICS S3F1-0283|136.23438 |  30.02419 |G|101929| 0.340000 |PHOT|23.0V|  0.000|1|0|6|1|0|0|0
217|MUNICS S3F1-0299|136.23667 |  30.02881 |G|311784| 1.040000 |PHOT|27.8V|  0.000|1|0|5|1|0|0|0
218|SDSS J090456.80+295802.5|136.23669 |  29.96737 |VisS|101929| 0.340000 |PHOT|20.7g|  0.000|1|0|11|2|0|4|0
219|MUNICS S3F1-0195|136.24071 |  30.00156 |G|527635| 1.760000 |PHOT|27.9R|  0.000|1|0|4|1|0|0|0
220|MUNICS S3F1-0486|136.24208 |  30.08822 |G|185871| 0.620000 |PHOT|24.4V|  0.000|1|0|6|1|0|0|0
221|MUNICS S3F1-0599|136.25146 |  30.12617 |G|287801| 0.960000 |PHOT|28.0V|  0.000|1|0|6|1|0|0|0
222|MUNICS S3F1-0379|136.25667 |  30.05036 |G| 71950| 0.240000 |PHOT|23.8V|  0.000|1|0|6|1|0|0|0
223|MUNICS S3F1-0201|136.27358 |  30.00244 |VisS|275809| 0.920000 |PHOT|25.3V|  0.000|1|0|6|1|0|0|0
224|COSMOS 1724366|149.69305 |   2.26737 |VisS|274610| 0.916000 |PHOT|24.3V|  0.000|10|0|7|0|2|0|0
225|COSMOS 1276039|150.01526 |   2.11846 |G|352136| 1.174600 |PHOT|22.4I|  0.000|3|0|2|0|3|0|0
226|HPS 206|150.06943 |   2.27188 |G| 64875| 0.216400 |    |20.9I|  0.000|7|0|4|0|5|0|0
227|COSMOS J100253.12+013456.4|150.72136 |   1.58233 |G|673970| 2.248120 |    |22.8i|  0.000|7|0|5|0|2|0|0
228|MUNICS S5F1-0319|155.87221 |  39.76858 |G|353755| 1.180000 |PHOT|24.7V|  0.000|1|0|6|1|0|0|0
229|MUNICS S5F1-0631|155.89717 |  39.85717 |G|365747| 1.220000 |PHOT|25.2V|  0.000|1|0|6|1|0|0|0
230|SDSS J102339.35+394920.0|155.91398 |  39.82223 |G|125913| 0.420000 |PHOT|24.2g|  0.000|1|0|11|2|0|4|0
231|MUNICS S5F1-0403|155.91575 |  39.78722 |G|431701| 1.440000 |PHOT|24.5V|  0.000|1|0|6|1|0|0|0
232|MUNICS S5F1-0317|155.91625 |  39.76753 |G|341763| 1.140000 |PHOT|23.8V|  0.000|1|0|6|1|0|0|0
233|MUNICS S5F1-0395|155.93925 |  39.78508 |G|353755| 1.180000 |PHOT|25.8V|  0.000|1|0|6|1|0|0|0
234|GALEXMSC J102346.02+394524.1  |155.94142 |  39.75667 |G|281805| 0.940000 |PHOT|23.0V|  0.000|1|0|8|1|0|0|0
235|MUNICS S5F1-0657|155.94321 |  39.86317 |G|173880| 0.580000 |PHOT|23.5V|  0.000|1|0|6|1|0|0|0
236|SDSS J102347.19+394854.3|155.94666 |  39.81509 |VisS|119917| 0.400000 |PHOT|23.7g|  0.000|1|0|21|2|0|4|0
237|MUNICS S5F1-0337|155.95462 |  39.77181 |G|281805| 0.940000 |PHOT|25.4V|  0.000|1|0|6|1|0|0|0
238|MUNICS S5F1-0449|155.95575 |  39.80342 |G|323776| 1.080000 |PHOT|24.0V|  0.000|1|0|6|1|0|0|0
239|MUNICS S5F1-0750|155.95621 |  39.88336 |VisS|251826| 0.840000 |PHOT|25.1V|  0.000|1|0|6|1|0|0|0
240|MUNICS S5F1-0402|155.95896 |  39.78644 |VisS|191867| 0.640000 |PHOT|24.5V|  0.000|1|0|6|1|0|0|0
241|SDSS J102354.12+395205.5|155.97553 |  39.86820 |G|107925| 0.360000 |PHOT|22.6g|  0.000|1|0|21|2|0|4|0
242|MUNICS S5F1-0648|155.97950 |  39.86061 |G|827427| 2.760000 |PHOT|25.1V|  0.000|1|0|6|1|0|0|0
243|MUNICS S5F1-0150|155.98658 |  39.72478 |G|335768| 1.120000 |PHOT|26.8V|  0.000|1|0|5|1|0|0|0
244|MUNICS S5F1-0352|156.00137 |  39.77736 |G|341763| 1.140000 |PHOT|23.2V|  0.000|1|0|6|1|0|0|0
245|MUNICS S5F1-0244|156.01008 |  39.74908 |G|341763| 1.140000 |PHOT|25.6V|  0.000|1|0|6|1|0|0|0
246|MUNICS S5F1-0662|156.02654 |  39.86328 |G|245830| 0.820000 |PHOT|24.9V|  0.000|1|0|6|1|0|0|0
247|GALEXMSC J102409.66+394459.4  |156.03929 |  39.74961 |G| 41971| 0.140000 |PHOT|22.0V|  0.000|1|0|8|1|0|0|0
248|SDSS J102411.05+394718.4|156.04605 |  39.78846 |G|341763| 1.140000 |PHOT|22.5g|  0.000|1|0|21|2|0|4|0
249|MUNICS S5F1-0206|156.04846 |  39.73833 |G|239834| 0.800000 |PHOT|25.3V|  0.000|1|0|6|1|0|0|0
250|MUNICS S5F1-0087|156.04888 |  39.70756 |G|773465| 2.580000 |PHOT|24.3V|  0.000|1|0|6|1|0|0|0
251|SDSS J102413.25+394536.3|156.05523 |  39.76009 |G| 47967| 0.160000 |PHOT|22.1g|  0.000|1|0|21|2|0|4|0
252|SDSS J102414.51+394604.4|156.06050 |  39.76789 |G|107925| 0.360000 |PHOT|22.7g|  0.000|1|0|21|2|0|4|0
253|MUNICS S5F1-0584|156.08733 |  39.83950 |G|593589| 1.980000 |PHOT|25.4V|  0.000|1|0|6|1|0|0|0
254|SDSS J102421.93+394531.7|156.09139 |  39.75882 |G|131909| 0.440000 |PHOT|23.7g|  0.000|1|0|21|2|0|4|0
255|SDSS J102424.02+395101.4|156.10009 |  39.85039 |G| 77946| 0.260000 |PHOT|22.6g|  0.000|1|0|11|2|0|4|0
256|SDSS J102426.53+394918.1|156.11056 |  39.82170 |VisS| 29979| 0.100000 |PHOT|22.1g|  0.000|1|0|11|2|0|4|0
257|MUNICS S5F1-0476|156.12533 |  39.80794 |VisS|257822| 0.860000 |PHOT|23.7V|  0.000|1|0|6|1|0|0|0
258|SDSS J102444.84+394735.6|156.18686 |  39.79324 |G|179876| 0.600000 |PHOT|23.9g|  0.000|1|0|11|2|0|4|0
259|SDSS J102449.13+395003.0|156.20474 |  39.83419 |G|125913| 0.420000 |PHOT|22.0g|  0.000|1|0|21|2|0|4|0
260|SDSS J102449.26+394953.9|156.20529 |  39.83166 |G|893382| 2.980000 |PHOT|22.3g|  0.000|1|0|23|2|0|4|0
261|MUNICS S5F5-0565|156.21604 |  39.85489 |G|341763| 1.140000 |PHOT|25.2V|  0.000|1|0|6|1|0|0|0
262|MUNICS S5F5-0527|156.22008 |  39.84589 |G| 23983| 0.080000 |PHOT|22.0V|  0.000|1|0|6|1|0|0|0
263|MUNICS S5F5-0474|156.22946 |  39.82303 |G|491660| 1.640000 |PHOT|24.7V|  0.000|1|0|6|1|0|0|0
264|MUNICS S5F5-0132|156.23392 |  39.72186 |VisS|233838| 0.780000 |PHOT|24.3V|  0.000|1|0|6|1|0|0|0
265|MUNICS S5F5-0417|156.24013 |  39.80450 |G|437697| 1.460000 |PHOT|24.6V|  0.000|1|0|6|1|0|0|0
266|MUNICS S5F5-0457|156.24042 |  39.81533 |G|221846| 0.740000 |PHOT|26.3V|  0.000|1|0|6|1|0|0|0
267|SDSS J102458.02+395120.7|156.24176 |  39.85576 |G|119917| 0.400000 |PHOT|21.9g|  0.000|1|0|21|2|0|4|0
268|SDSS J102459.96+395054.8|156.24984 |  39.84858 |G| 11992| 0.040000 |PHOT|22.9g|  0.000|1|0|21|2|0|4|0
269|MUNICS S5F5-0483|156.25133 |  39.82661 |G|263817| 0.880000 |PHOT|25.1V|  0.000|1|0|6|1|0|0|0
270|MUNICS S5F5-0421|156.28367 |  39.80586 |G|107925| 0.360000 |PHOT|23.8V|  0.000|1|0|6|1|0|0|0
271|MUNICS S5F5-0170|156.29854 |  39.73556 |G|353755| 1.180000 |PHOT|23.9V|  0.000|1|0|6|1|0|0|0
272|SDSS J102513.09+394412.1|156.30457 |  39.73670 |VisS| 89938| 0.300000 |PHOT|23.7g|  0.000|1|0|11|2|0|4|0
273|GALEXMSC J102519.02+394558.6  |156.32933 |  39.76650 |G|107925| 0.360000 |PHOT|21.9V|  0.000|1|0|8|1|0|0|0
274|SDSS J102520.69+394158.3|156.33624 |  39.69955 |G|131909| 0.440000 |PHOT|21.6g|  0.000|1|0|23|2|0|4|0
275|MUNICS S5F5-0254|156.34792 |  39.75572 |G|203859| 0.680000 |PHOT|23.5V|  0.000|1|0|6|1|0|0|0
276|SDSS J102525.78+394730.0|156.35744 |  39.79168 |G|161888| 0.540000 |PHOT|22.8g|  0.000|1|0|21|2|0|4|0
277|SDSS J102529.20+394247.9|156.37170 |  39.71332 |G|101929| 0.340000 |PHOT|22.1g|  0.000|1|0|21|2|0|4|0
278|SDSS J102532.36+394750.6|156.38487 |  39.79740 |G|323776| 1.080000 |PHOT|22.6g|  0.000|1|0|21|2|0|4|0
279|SDSS J102534.65+394539.8|156.39439 |  39.76107 |VisS|101929| 0.340000 |PHOT|21.2g|  0.000|1|0|11|2|0|4|0
280|SDSS J102615.30-000630.2|156.56379 |  -0.10840 |*||||19.40|  0.000|8|0|18|1|1|4|0
281|MUSYC 1030-1813|157.71295 |   5.42671 |IrS|767469| 2.560000 |PHOT|24.9R|  0.000|6|0|3|0|0|0|0
282|NGC 3377:[CLW2011] 073|161.92740 |  13.96129 |*Cl||||22.3g|  0.000|2|0|3|0|0|0|0
283|SDSS J104748.46+135727.4|161.95196 |  13.95764 |*Cl||||21.6g|  0.000|2|0|8|1|0|4|0
284|WLTV J105651.51-033609.6|164.21463 |  -3.60267 |G|246639| 0.822700 |    |21.12|  0.000|5|0|3|0|2|0|0
285|MS 1054.4-0321:[FFL2006] 0695 |164.25037 |  -3.62584 |G|173880| 0.580000 |PHOT|20.8K|  0.000|2|0|2|0|0|0|0
286|MS 1054.4-0321:[FFL2006] 1849 |164.26049 |  -3.56248 |G|167884| 0.560000 |PHOT|20.8K|  0.000|2|0|2|0|0|0|0
287|MS 1054.4-0321:[FFL2006] 1357 |164.27399 |  -3.60126 |G|203859| 0.680000 |PHOT|20.8K|  0.000|2|0|2|0|0|0|0
288|MS 1054.4-0321:[FFL2006] 1319 |164.27785 |  -3.60107 |G|726697| 2.424000 |    |19.0K|  0.000|4|0|5|0|1|0|0
289|MRC 1101-351|165.96100 | -35.44533 |IrS||||19.0K|  0.000|5|0|11|1|0|0|0
290|MUNICS S6F1-0346|178.72825 |  65.59964 |G|287801| 0.960000 |PHOT|24.5V|  0.000|1|0|6|1|0|0|0
291|SDSS J115509.69+653436.8|178.79039 |  65.57691 |VisS| 95934| 0.320000 |PHOT|22.0g|  0.000|1|0|23|2|0|4|0
292|MUNICS S6F1-0573|178.82246 |  65.66850 |G|179876| 0.600000 |PHOT|23.2V|  0.000|1|0|6|1|0|0|1
293|SDSS J115517.83+654009.3|178.82429 |  65.66926 |VisS|215851| 0.720000 |PHOT|22.9V|  0.000|1|0|21|2|0|4|1
294|SDSS J115518.05+653643.2|178.82523 |  65.61201 |G| 11992| 0.040000 |PHOT|21.8g|  0.000|1|0|23|2|0|4|0
295|MUNICS S6F1-0586|178.93729 |  65.67056 |G|191867| 0.640000 |PHOT|24.3V|  0.000|1|0|6|1|0|0|0
296|SDSS J115559.18+652944.4|178.99661 |  65.49567 |G|125913| 0.420000 |PHOT|22.4g|  0.000|1|0|21|2|0|4|0
297|MUNICS S6F1-0474|179.00246 |  65.63964 |G|257822| 0.860000 |PHOT|24.6V|  0.000|1|0|6|1|0|0|0
298|MUNICS S6F1-0218|179.07212 |  65.55842 |G|299792| 1.000000 |PHOT|26.9V|  0.000|1|0|5|1|0|0|0
299|MUNICS S6F1-0526|179.08633 |  65.65400 |G|305788| 1.020000 |PHOT|24.4V|  0.000|1|0|6|1|0|0|0
300|MUNICS S6F1-0436|179.12037 |  65.62397 |G|221846| 0.740000 |PHOT|24.0V|  0.000|1|0|6|1|0|0|0
301|SDSS J115653.84+653525.9|179.22434 |  65.59054 |G| 77946| 0.260000 |PHOT|22.4g|  0.000|1|0|21|2|0|4|0
302|SDSS J115701.31+653526.4|179.25546 |  65.59069 |G|263817| 0.880000 |PHOT|23.4g|  0.000|1|0|11|2|0|3|0
303|SDSS J115707.19+653533.9|179.27998 |  65.59276 |G|125913| 0.420000 |PHOT|22.5g|  0.000|1|0|23|2|0|4|0
304|SDSS J115708.64+653622.6|179.28601 |  65.60630 |G| 95934| 0.320000 |PHOT|23.4g|  0.000|1|0|23|2|0|4|0
305|SDSS J115709.87+653729.8|179.29114 |  65.62496 |G|143900| 0.480000 |PHOT|23.0g|  0.000|1|0|21|2|0|4|0
306|MUNICS S6F5-0494|179.29904 |  65.58414 |G|335768| 1.120000 |PHOT|27.0V|  0.000|1|0|6|1|0|0|0
307|MUNICS S6F5-0623|179.29971 |  65.60322 |G|239834| 0.800000 |PHOT|24.3R|  0.000|1|0|4|1|0|0|0
308|MUNICS S6F5-0353|179.30842 |  65.55883 |G|323776| 1.080000 |PHOT|26.9B|  0.000|1|0|4|1|0|0|0
309|MUNICS S6F5-0817|179.31358 |  65.64086 |G|221846| 0.740000 |PHOT|24.3V|  0.000|1|0|6|1|0|0|0
310|MUNICS S6F5-0437|179.31421 |  65.57417 |G|233838| 0.780000 |PHOT|25.0V|  0.000|1|0|6|1|0|0|0
311|MUNICS S6F5-0794|179.31813 |  65.63686 |G|1043278| 3.480000 |PHOT|23.4V|  0.000|1|0|6|1|0|0|0
312|MUNICS S6F5-0386|179.35579 |  65.56439 |G|551618| 1.840000 |PHOT|25.1V|  0.000|1|0|6|1|0|0|0
313|MUNICS S6F5-0095|179.35992 |  65.50636 |G|263817| 0.880000 |PHOT|26.3B|  0.000|1|0|5|1|0|0|0
314|MUNICS S6F5-0806|179.36233 |  65.63861 |G|371743| 1.240000 |PHOT|22.9V|  0.000|1|0|6|1|0|0|0
315|SDSS J115729.22+653338.7|179.37176 |  65.56076 |VisS|233838| 0.780000 |PHOT|23.7g|  0.000|1|0|11|2|0|4|0
316|MUNICS S6F5-0695|179.39683 |  65.61542 |G|371743| 1.240000 |PHOT|23.9V|  0.000|1|0|6|1|0|0|0
317|MUNICS S6F5-0527|179.40850 |  65.58847 |G|191867| 0.640000 |PHOT|23.8V|  0.000|1|0|6|1|0|0|0
318|SDSS J115738.07+653503.7|179.40866 |  65.58438 |G|323776| 1.080000 |PHOT|22.3g|  0.000|1|0|21|2|0|4|0
319|SDSS J115746.56+653035.3|179.44402 |  65.50982 |G| 89938| 0.300000 |PHOT|23.9g|  0.000|1|0|11|2|0|4|0
320|SDSS J115750.65+653425.9|179.46105 |  65.57386 |VisS|257822| 0.860000 |PHOT|21.8g|  0.000|2|0|13|2|1|4|0
321|MUNICS S6F5-0776|179.46950 |  65.63153 |G|503651| 1.680000 |PHOT|25.9V|  0.000|1|0|6|1|0|0|0
322|MUNICS S6F5-0438|179.50533 |  65.57325 |VisS|233838| 0.780000 |PHOT|25.1V|  0.000|1|0|6|1|0|0|0
323|MUNICS S6F5-0519|179.52433 |  65.58675 |G|329772| 1.100000 |PHOT|23.4V|  0.000|1|0|6|1|0|0|0
324|MUNICS S6F5-0715|179.52633 |  65.61969 |G|305788| 1.020000 |PHOT|24.8V|  0.000|1|0|6|1|0|0|0
325|SDSS J115806.92+653350.7|179.52883 |  65.56408 |G|257822| 0.860000 |PHOT|21.9g|  0.000|1|0|23|2|0|4|0
326|MUNICS S6F5-0773|179.55238 |  65.63014 |G|869398| 2.900000 |PHOT|24.5V|  0.000|1|0|6|1|0|0|0
327|MUNICS S6F5-0366|179.55467 |  65.56053 |G|419710| 1.400000 |PHOT|26.4V|  0.000|1|0|6|1|0|0|0
328|MUNICS S6F5-0383|179.55988 |  65.56314 |G|269813| 0.900000 |PHOT|24.1V|  0.000|1|0|6|1|0|0|0
329|MUNICS S6F5-0508|179.63329 |  65.58386 |G|245830| 0.820000 |PHOT|24.8V|  0.000|1|0|6|1|0|0|0
330|MUNICS S6F5-0642|179.63921 |  65.60461 |G|299792| 1.000000 |PHOT|25.6V|  0.000|1|0|6|1|0|0|0
331|MUNICS S6F5-0554|179.64392 |  65.59042 |G|485664| 1.620000 |PHOT|23.5V|  0.000|1|0|6|1|0|0|0
332|SDSS J115836.21+653849.8|179.65090 |  65.64717 |G|227842| 0.760000 |PHOT|23.7g|  0.000|1|0|11|2|0|4|0
333|GALEXMSC J115840.30+653046.3  |179.66771 |  65.51308 |G|311784| 1.040000 |PHOT|23.0V|  0.000|1|0|8|1|0|0|0
334|ARP 244:[BCE2005] 015|180.44779 | -18.91119 |IrS||||19.0J|  0.000|1|0|2|0|0|0|0
335|ARP 244:[BCE2005] 025|180.45233 | -18.89055 |IrS||||19.3J|  0.000|1|0|2|0|0|0|0
336|GDDS SA12-9012|181.30496 |  -7.36422 |G|689823| 2.301000 | ?  |24.7V|  0.000|1|0|7|0|0|0|0
337|GDDS SA12-7205|181.31446 |  -7.38278 |G|170282| 0.568000 |    |23.5V|  0.000|4|0|21|0|0|0|0
338|GDDS SA12-6819|181.31838 |  -7.38489 |VisS||||26.2V|  0.000|1|0|7|0|0|0|0
339|MM J120520-0738.9|181.33596 |  -7.64878 |G|314782| 1.050000 |PHOT|25.4B|  0.000|1|0|9|0|0|0|0
340|EDCSN J1216511-1201521|184.21283 | -12.03117 |*||||22.5I|  0.000|3|0|27|0|0|0|0
341|NGC 4278:[CLW2011] 028|185.03354 |  29.27990 |*Cl||||21.7g|  0.000|2|0|3|0|0|0|0
342|CXO J122008.1+291717|185.03391 |  29.28808 |*Cl||||21.6V|  0.000|6|0|4|0|0|0|0
343|NGC 4278:[CLW2011] 011|185.04529 |  29.29388 |*Cl||||22.1g|  0.000|2|0|3|0|0|0|0
344|SDSS J122422.35+072009.9|186.09313 |   7.33610 |*Cl||||22.5g|  0.000|1|0|8|1|0|4|1
345|NGC 4365:[H2009] 112|186.10092 |   7.31278 |*Cl||||22.6V|  0.000|2|0|5|0|0|0|0
346|NGC 4365:[H2009] 289|186.12817 |   7.34289 |*Cl||||22.3V|  0.000|2|0|5|0|0|0|0
347|NGC 4374:[ABT94] 074|186.26080 |  12.87231 |*Cl||||21.7R|  0.000|3|0|3|0|0|0|0
348|NGC 4374:[ABT94] 066|186.26257 |  12.89557 |*Cl||||21.4R|  0.000|3|0|3|0|0|0|0
349|NGC 4374:[ABT94] 049|186.27190 |  12.88074 |*Cl||||21.5R|  0.000|3|0|3|0|0|0|1
350|NGC 4374:[ABT94] 036|186.27878 |  12.87520 |*Cl||||21.9R|  0.000|3|0|3|0|0|0|0
351|NGC 4374:[ABT94] 020|186.28557 |  12.89426 |*Cl||||21.7R|  0.000|3|0|3|0|0|0|1
352|NGC 4382:[CLW2011] 028|186.34714 |  18.19290 |*Cl||||22.5g|  0.000|1|0|3|0|0|0|0
353|NGC 4382:[CLW2011] 034|186.35718 |  18.18648 |*Cl||||22.9g|  0.000|1|0|3|0|0|0|0
354|NGC 4406:[ABT94] 040|186.56091 |  12.94281 |*Cl||||21.3R|  0.000|2|0|3|0|0|0|1
355|NGC 4406:[ABT94] 027|186.56606 |  12.93853 |*Cl||||21.5R|  0.000|2|0|3|0|0|0|0
356|NGC 4406:[ABT94] 014|186.57051 |  12.95790 |*Cl||||21.7R|  0.000|2|0|3|0|0|0|0
357|NGC 4473:[CLW2011] 047|187.46890 |  13.43546 |*Cl||||22.9g|  0.000|1|0|3|0|0|0|0
358|MESSIER 087:[PJB2009] 0303|187.68748 |  12.39536 |*Cl||||21.6V|  0.000|2|0|5|0|0|0|0
359|MESSIER 087:[PJB2009] 0175|187.68803 |  12.41233 |*Cl|  1421| 0.004740 |    |22.5V|  0.000|4|0|8|0|1|0|0
360|MESSIER 087:[PJB2009] 0375|187.68914 |  12.39409 |*Cl||||22.1V|  0.000|3|0|5|0|0|0|0
361|MESSIER 087:[PJB2009] 0350|187.68920 |  12.39695 |*Cl||||22.0V|  0.000|2|0|5|0|0|0|1
362|MESSIER 087:[PJB2009] 0534|187.69003 |  12.37306 |*Cl||||21.9V|  0.000|3|0|5|0|0|0|0
363|MESSIER 087:[PJB2009] 2199|187.69135 |  12.39256 |*Cl||||22.4V|  0.000|3|0|5|0|0|0|1
364|SDSS J123047.76+122502.6|187.69901 |  12.41740 |*Cl|   294| 0.000981 |    |23.0g|  0.000|4|0|13|1|1|4|0
365|MESSIER 087:[PJB2009] 0623|187.69935 |  12.40122 |*Cl||||21.6V|  0.000|3|0|5|0|0|0|2
366|MESSIER 087:[PJB2009] 1025|187.70038 |  12.37102 |*Cl||||21.3V|  0.000|4|0|6|0|0|0|0
367|SDSS J123048.31+122455.8|187.70132 |  12.41550 |*Cl|  1202| 0.004009 |    |23.5g|  0.000|4|0|13|1|1|4|0
368|MESSIER 087:[PJB2009] 1010|187.70193 |  12.37878 |*Cl||||21.6V|  0.000|3|0|6|0|0|0|0
369|MESSIER 087:[PJB2009] 0687|187.70218 |  12.40734 |*Cl||||21.4V|  0.000|2|0|5|0|0|0|0
370|MESSIER 087:[PJB2009] 0795|187.70268 |  12.40021 |*Cl||||21.6V|  0.000|2|0|5|0|0|0|1
371|MESSIER 087:[PJB2009] 1099|187.70424 |  12.38004 |*Cl||||21.5V|  0.000|3|0|6|0|0|0|0
372|MESSIER 087:[PJB2009] 1226|187.70606 |  12.37693 |*Cl||||22.1V|  0.000|3|0|6|0|0|0|1
373|MESSIER 087:[PJB2009] 1407|187.71287 |  12.39005 |*Cl||||21.9V|  0.000|3|0|6|0|0|0|1
374|MESSIER 087:[PJB2009] 1500|187.71299 |  12.38127 |*Cl||||21.8V|  0.000|3|0|6|0|0|0|1
375|MESSIER 087:[PJB2009] 1696|187.71341 |  12.36390 |*Cl|  1512| 0.005043 |    |22.4V|  0.000|3|0|8|0|1|0|1
376|MESSIER 087:[PJB2009] 1560|187.71501 |  12.38340 |*Cl||||21.8V|  0.000|3|0|6|0|0|0|0
377|MESSIER 087:[PJB2009] 1476|187.71503 |  12.39122 |*Cl||||21.6V|  0.000|3|0|6|0|0|0|0
378|MESSIER 087:[PJB2009] 1589|187.71547 |  12.38329 |*Cl||||22.2V|  0.000|3|0|6|0|0|0|0
379|MESSIER 087:[PJB2009] 1295|187.71713 |  12.41590 |*Cl|  1664| 0.005550 |    |22.3V|  0.000|4|0|8|0|1|0|0
380|MESSIER 087:[PJB2009] 1807|187.71859 |  12.37158 |*Cl||||22.0V|  0.000|3|0|6|0|0|0|0
381|MESSIER 087:[PJB2009] 1690|187.72345 |  12.40367 |*Cl||||21.6V|  0.000|4|0|6|0|0|0|0
382|MESSIER 087:[PJB2009] 2107|187.73086 |  12.38083 |*Cl||||21.2V|  0.000|4|0|6|0|0|0|1
383|MESSIER 087:[PJB2009] 0004|187.73318 |  12.36757 |*Cl|   528| 0.001761 |    |22.3V|  0.000|3|0|8|0|1|0|0
384|NGC 4526:[CLW2011] 008|188.49678 |   7.69540 |*Cl||||22.3g|  0.000|1|0|3|0|0|0|0
385|SDSS J123401.61+074305.6|188.50672 |   7.71823 |*Cl||||24.5g|  0.000|1|0|8|1|0|4|0
386|SDSS J123402.28+074023.3|188.50951 |   7.67315 |*Cl||||21.8g|  0.000|1|0|18|1|0|4|0
387|NGC 4526:[CLW2011] 049|188.51660 |   7.71328 |*Cl||||22.0g|  0.000|1|0|3|0|0|0|0
388|NGC 4526:[CLW2011] 011|188.52126 |   7.69056 |*Cl||||22.6g|  0.000|1|0|3|0|0|0|0
389|NGC 4552:[ABT94] 084|188.90946 |  12.56350 |*Cl||||21.8R|  0.000|3|0|5|0|0|0|0
390|NGC 4552:[H2009] 038|188.91325 |  12.55372 |*Cl||||23.9V|  0.000|2|0|5|0|0|0|0
391|NGC 4552:[ABT94] 052|188.92163 |  12.54776 |*Cl||||21.3R|  0.000|2|0|3|0|0|0|0
392|NGC 4552:[ABT94] 047|188.92212 |  12.54903 |*Cl||||21.4R|  0.000|2|0|3|0|0|0|0
393|NGC 4552:[CLW2011] 021|188.93279 |  12.54058 |*Cl||||22.9g|  0.000|1|0|3|0|0|0|0
