

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2015-08-18T09:58:42PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA(deg)|DEC(deg)|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Distance (arcmin)|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
44|MUNICS S2F5-0811| 46.61888 |  -0.16092 |G|119917| 0.400000 |PHOT|24.4V|  0.000|1|0|6|1|0|0|0
45|MUNICS S2F1-0366| 46.62237 |   0.00164 |G|257822| 0.860000 |PHOT|25.3V|  0.000|1|0|6|1|0|0|0
46|SDSS J030629.65-000340.5| 46.62355 |  -0.06126 |G|227842| 0.760000 |PHOT|22.5g|  0.000|1|0|21|2|0|3|0
47|SDSS J030630.78-001759.8| 46.62828 |  -0.29995 |G|167884| 0.560000 |PHOT|23.8g|  0.000|1|0|11|2|0|3|0
48|MUNICS S2F1-0066| 46.63104 |  -0.06983 |G|503651| 1.680000 |PHOT|23.4V|  0.000|1|0|6|1|0|0|0
49|MUNICS S2F5-0053| 46.63658 |  -0.31522 |G|245830| 0.820000 |PHOT|27.4V|  0.000|1|0|6|1|0|0|0
50|SDSS J030635.60-001816.4| 46.64835 |  -0.30456 |G|161888| 0.540000 |PHOT|22.3g|  0.000|1|0|21|2|0|4|0
51|MUNICS S2F1-0177| 46.65004 |  -0.04097 |G|161888| 0.540000 |PHOT|24.8V|  0.000|1|0|6|1|0|0|0
52|MUNICS S2F1-0519| 46.65800 |   0.04433 |G|323776| 1.080000 |PHOT|24.6R|  0.000|1|0|4|1|0|0|0
53|MUNICS S2F1-0267| 46.65946 |  -0.02000 |G|401722| 1.340000 |PHOT|24.5V|  0.000|1|0|6|1|0|0|0
54|MUNICS S2F1-0243| 46.66696 |  -0.02639 |G|215851| 0.720000 |PHOT|25.3V|  0.000|1|0|5|1|0|0|0
55|MUNICS S2F5-0288| 46.66700 |  -0.26594 |G|755477| 2.520000 |PHOT|22.1J|  0.000|1|0|2|1|0|0|0
56|MUNICS S2F1-0556| 46.67121 |   0.05461 |G|269813| 0.900000 |PHOT|25.3V|  0.000|1|0|5|1|0|0|0
57|SDSS J030641.21-001232.9| 46.67173 |  -0.20916 |G|167884| 0.560000 |PHOT|22.8g|  0.000|1|0|24|2|0|4|0
58|MUNICS S2F5-0764| 46.67292 |  -0.16944 |G|209855| 0.700000 |PHOT|23.8V|  0.000|1|0|6|1|0|0|0
59|MUNICS S2F1-0329| 46.67358 |  -0.00964 |G|719502| 2.400000 |PHOT|23.3J|  0.000|1|0|2|1|0|0|0
60|MUNICS S2F5-0876| 46.67550 |  -0.14636 |VisS| 95934| 0.320000 |PHOT|23.8V|  0.000|1|0|6|1|0|0|0
61|MUNICS S2F5-0710| 46.67554 |  -0.18058 |G|287801| 0.960000 |PHOT|24.2R|  0.000|1|0|4|1|0|0|1
62|MUNICS S2F5-0717| 46.67558 |  -0.17897 |G|209855| 0.700000 |PHOT|24.1V|  0.000|1|0|6|1|0|0|1
63|SDSS J030644.66-001334.2| 46.68612 |  -0.22619 |VisS|143900| 0.480000 |PHOT|23.5g|  0.000|1|0|11|2|0|4|0
64|MUNICS S2F5-0913| 46.68646 |  -0.13900 |G|521639| 1.740000 |PHOT|24.0V|  0.000|1|0|6|1|0|0|0
65|MUNICS S2F5-0721| 46.69042 |  -0.17811 |VisS|191867| 0.640000 |PHOT|24.6V|  0.000|1|0|6|1|0|0|0
66|MUNICS S2F5-0899| 46.69125 |  -0.14175 |G|239834| 0.800000 |PHOT|25.4V|  0.000|1|0|6|1|0|0|0
67|SDSS J030646.30+000219.0| 46.69292 |   0.03863 |G|164106| 0.547400 |1LIN|22.0g|  0.000|2|0|22|2|1|4|0
68|MUNICS S2F5-0505| 46.69483 |  -0.22269 |G|323776| 1.080000 |PHOT|24.0V|  0.000|1|0|6|1|0|0|0
69|MUNICS S2F1-0106| 46.69938 |  -0.06256 |G|107925| 0.360000 |PHOT|21.0V|  0.000|1|0|6|1|0|0|0
70|MUNICS S2F5-0697| 46.70146 |  -0.18319 |G|167884| 0.560000 |PHOT|23.5V|  0.000|1|0|6|1|0|0|0
71|MUNICS S2F5-0116| 46.70233 |  -0.30083 |G|191867| 0.640000 |PHOT|24.3V|  0.000|1|0|6|1|0|0|0
72|MUNICS S2F5-0220| 46.70392 |  -0.28081 |G|179876| 0.600000 |PHOT|24.9V|  0.000|1|0|6|1|0|0|0
73|GALEXMSC J030649.44-001508.8  | 46.70562 |  -0.25333 |G|203859| 0.680000 |PHOT|24.2V|  0.000|1|0|9|1|0|0|0
74|MUNICS S2F1-0323| 46.70621 |  -0.01136 |G|287801| 0.960000 |PHOT|25.3V|  0.000|1|0|6|1|0|0|0
75|MUNICS S2F1-0531| 46.70629 |   0.04589 |G||||27.9B|  0.000|1|0|3|1|0|0|0
76|MUNICS S2F1-0454| 46.70763 |   0.02392 |G|305788| 1.020000 |PHOT|26.4B|  0.000|1|0|5|1|0|0|0
77|MUNICS S2F1-0573| 46.71012 |   0.05867 |G|317780| 1.060000 |PHOT|24.9R|  0.000|1|0|4|1|0|0|0
78|MUNICS S2F1-0099| 46.71388 |  -0.06414 |G|203859| 0.680000 |PHOT|23.9V|  0.000|1|0|6|1|0|0|0
79|SDSS J030651.43-000853.5| 46.71431 |  -0.14822 |G|122915| 0.410000 |    |22.2g|  0.000|1|0|25|2|1|4|0
80|MUNICS S2F5-0904| 46.71538 |  -0.14094 |G|593589| 1.980000 |PHOT|24.7V|  0.000|1|0|6|1|0|0|0
81|SDSS J030651.73-001056.6| 46.71555 |  -0.18239 |G| 53963| 0.180000 |PHOT|22.9g|  0.000|1|0|21|2|0|4|0
82|SDSS J030652.02+000022.4| 46.71678 |   0.00624 |G| 53963| 0.180000 |PHOT|22.8g|  0.000|1|0|21|2|0|4|0
83|SDSS J030652.94-000816.2| 46.72059 |  -0.13786 |VisS|113921| 0.380000 |PHOT|21.4g|  0.000|1|0|11|2|0|4|0
84|MUNICS S2F5-0157| 46.72637 |  -0.29453 |G|203859| 0.680000 |PHOT|24.2V|  0.000|1|0|6|1|0|0|0
85|MUNICS S2F5-0277| 46.72658 |  -0.26817 |G|197863| 0.660000 |PHOT|24.8V|  0.000|1|0|6|1|0|0|0
86|MUNICS S2F5-0578| 46.73058 |  -0.20753 |G|473672| 1.580000 |PHOT|23.5V|  0.000|1|0|6|1|0|0|0
87|SDSS J030655.71-001844.7| 46.73216 |  -0.31244 |G| 35975| 0.120000 |PHOT|23.3g|  0.000|1|0|11|2|0|4|0
88|MUNICS S2F5-0333| 46.73592 |  -0.25656 |VisS|287801| 0.960000 |PHOT|25.1V|  0.000|1|0|6|1|0|0|0
89|MUNICS S2F1-0184| 46.73913 |  -0.04069 |G|155892| 0.520000 |PHOT|24.2V|  0.000|1|0|6|1|0|0|0
90|MUNICS S2F5-0244| 46.76342 |  -0.27717 |VisS|389730| 1.300000 |PHOT|24.8V|  0.000|1|0|6|1|0|0|0
91|MUNICS S4F1-0555| 48.66938 |   0.16956 |G|149896| 0.500000 |PHOT|24.2V|  0.000|1|0|6|1|0|0|0
92|SDSS J031440.78+000944.3| 48.66992 |   0.16231 |VisS|149896| 0.500000 |PHOT|23.4g|  0.000|1|0|11|2|0|4|0
93|MUNICS S4F1-0258| 48.67446 |   0.09875 |G|287801| 0.960000 |PHOT|24.5V|  0.000|1|0|6|1|0|0|0
94|MUNICS S4F1-0438| 48.68754 |   0.14725 |G|491660| 1.640000 |PHOT|25.1V|  0.000|1|0|5|1|0|0|0
95|MUNICS S4F1-0322| 48.72062 |   0.11381 |VisS|203859| 0.680000 |PHOT|24.4V|  0.000|1|0|6|1|0|0|0
96|MUNICS S4F1-0325| 48.72200 |   0.11417 |G|143900| 0.480000 |PHOT|24.6V|  0.000|1|0|6|1|0|0|0
