#         RA            DEC        r_k20fe      j_m_k20fe      k_m_k20fe           k_ba           k_pa                                                                                                         
   1.336354E+02  -3.293748E+01   6.590000E+01   9.761000E+00   8.712000E+00   4.400000E-01   6.450000E+01
   1.343692E+02  -3.926845E+01   8.050000E+01   8.543000E+00   7.368000E+00   8.800000E-01   1.500000E+01
   1.407544E+02  -3.244976E+01   1.310000E+02   8.461000E+00   7.415000E+00   3.000000E-01   3.350000E+01
   1.434422E+02   1.015239E+01   4.810000E+01   9.895000E+00   8.921000E+00   8.200000E-01  -5.000000E+01
   1.439654E+02   6.135292E+01   1.350000E+01   1.246800E+01   1.078200E+01   6.200000E-01   8.500000E+01
   1.447228E+02  -4.848700E+00   3.020000E+01   1.072900E+01   9.746000E+00   6.900000E-01  -7.500000E+00
   1.447234E+02  -4.860160E+00   3.550000E+01   1.149800E+01   1.033900E+01   2.200000E-01  -6.000000E+01
   1.447290E+02  -4.865920E+00   1.980000E+01   1.171400E+01   1.072400E+01   8.400000E-01   3.000000E+01
   1.447304E+02  -4.857910E+00   2.220000E+01   1.322500E+01   1.218200E+01   3.500000E-01   5.750000E+01
   1.447323E+02  -4.837070E+00   2.040000E+01   1.195200E+01   1.093200E+01   4.200000E-01   6.750000E+01
   1.473253E+02   1.687912E+01   5.000000E+00   1.498900E+01   1.416800E+01   1.000000E+00   2.500000E+01
   1.480799E+02  -1.612250E+00   1.010000E+01   1.187200E+01   9.603000E+00   1.000000E+00  -1.500000E+01
   1.487069E+02   9.271640E+00   4.420000E+01   1.134500E+01   1.040300E+01   4.400000E-01   3.500000E+01
   1.556437E+02   1.988705E+01   2.740000E+01   1.073300E+01   9.762000E+00   5.900000E-01   6.000000E+01
   1.577782E+02   2.879640E+01   1.910000E+01   1.148300E+01   1.052700E+01   7.000000E-01   7.500000E+01
   1.587843E+02  -4.369184E+01   5.770000E+01   9.439000E+00   8.614000E+00   7.000000E-01   1.700000E+01
   1.591485E+02  -2.751843E+01   4.390000E+01   9.581000E+00   8.629000E+00   9.400000E-01   2.250000E+01
   1.598829E+02   5.107450E+00   1.750000E+01   1.186300E+01   1.079300E+01   8.830000E-01  -2.250000E+01
   1.690195E+02  -7.621632E+01   1.054000E+02   8.935000E+00   7.675000E+00   3.500000E-01   7.800000E+01
   1.791840E+02   3.202161E+01   6.150000E+01   1.016000E+01   9.077000E+00   2.400000E-01  -7.250000E+01
   1.811808E+02   3.117722E+01   2.190000E+01   1.141300E+01   1.033300E+01   9.000000E-01   1.750000E+01
   1.852596E+02   3.721960E+00   4.210000E+01   1.128900E+01   1.007000E+01   2.400000E-01   1.000000E+00
   1.856307E+02   1.553792E+01   7.690000E+01   9.927000E+00   8.986000E+00   2.600000E-01  -7.500000E+00
   1.858219E+02   1.136798E+01   9.200000E+01   1.080900E+01   9.758000E+00   1.600000E-01   5.900000E+01
   1.877381E+02   1.148355E+01   4.130000E+01   1.093200E+01   1.006700E+01   4.700000E-01  -3.950000E+01
   1.906555E+02   1.435713E+01   3.080000E+01   1.218800E+01   1.137900E+01   6.100000E-01   4.750000E+01
   1.940597E+02   5.687345E+01   1.820000E+01   1.108000E+01   8.860000E+00   8.300000E-01   2.500000E+01
   1.942844E+02  -3.251276E+01   3.040000E+01   1.075100E+01   9.816000E+00   7.900000E-01  -5.150000E+01
