---,0.001,0.001,0.001,deg,deg,0.001,km/s,km/s,mag,mag,mag,mag,0.001,0.001,mag,mag,0.001,mag,0.001,mag,0.001,km/s,km/s,0.001,0.001,mag,mag,0.001,mag,mag,0.001,deg,deg,mag,km/s,km/s,km/s,km/s,mag,mag,0.001,mag,mag,0.001,0.001,mag,mag,0.001,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Internal group ID; running tabulation of Nearby Galaxy Catalog groups","Group/cloud ID following Nearby Galaxies Catalog","Common name","Galactic longitude","Galactic latitude","Morphological type code","Heliocentric velocity","Galactocentric velocity, defined in RC3","Distance modulus assumed; given by Numerical Action model","Distance modulus measured for specific galaxy by a quality method","Differential Galactic reddening E(B-V); Schlegel, Finkbinder, Davis","Galactic absorption in B band","ratio minor to major axis from CCD image, B prefered","No. sources contributing to measure of axial ratio","Total B magnitude, Pierce/Tully source, uncorrected for obscuration","Total R magnitude, average of sources, uncorrected for obscuration","No. sources of R photometry","Total I magnitude, average of sources, uncorrected for obscuration","No. sources of I photometry","Aperture H magnitude H_{-0.5}, average of sources, uncorrected for obscuration","No. sources of H photometry","Heliocentric velocity from HI observation","HI profile linewidth at 20% of peak intensity","m=morphology quality code (1-3 good)","l=HI profile quality code (1-3 good)","Distance modulus from HI luminosity-linewidth correlation","RMS variance in measured Mod_HI","Summed weight: R=I: wt=1; B=H: wt=0.5","Distance modulus: Karachentsev Flat Galaxy: 2MASS K-linewidth correlation","B mag corrected for reddening","Reduced luminosity = logL-dmin/2.5 corrected by selection function for lost luminosity","Galactic longitude (global group parameter)","Galactic latitude (global group parameter)","Group reduced luminosity","Group heliocentric velocity","Group Galactocentric velocity: GSR frame in RC3","Group velocity in Local Sheet reference frame (2008, ApJ,676, 184)","Group velocity in Cosmic Microwave Background reference frame","Group distance modulus: average of all measures","Error in group distance modulus","No. luminosity-linewidth estimates for group","Group luminosity-linewidth modulus","Error in group luminosity-linewidth modulus","Weight assigned to group luminosity-linewidth distance estimate","No. distance estimates from Karachentsev 2MASS/Flat Galaxies sample","Group modulus from Karachentsev 2MASS/Flat Galaxies luminosity-linewidth sample","Error in Karachensev 2MASS/Flat Galaxies modulus","No. other good estimates of group modulus","Group modulus from other good measures","Error in group modulus from other good measures"
10330,845,"51 -3  1","N 1079",223.89,-65.21,0,1464,1387,30.96,0.00,0.023,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.30,-2.71,226.28,-64.78,-1.73,1301,1221,1219,1134,30.76,0.37,1,30.76,0.37,1.3,0,0.00,0.00,0,0.00,0.00
10464,889,"52 -1  1","N 1084",182.47,-56.55,5,1408,1392,31.19,0.00,0.027,0.06,0.69,2,0.001,0.001,0.001,9.74,2,0.001,0.001,1390,346,1,3,31.90,0.00,1.0,0.001,10.91,-2.14,181.87,-57.57,-1.52,1421,1406,1436,1205,31.19,0.13,5,30.78,0.20,5.6,1,30.97,0.41,1,31.44,0.16
10488,845,"51 -3  1","N 1097",226.91,-64.65,3,1275,1194,30.96,0.00,0.027,0.03,0.69,2,10.11,8.40,1,8.10,2,0.001,0.001,1191,403,4,2,30.76,0.23,2.5,0.001,10.02,-1.80,226.28,-64.78,-1.73,1301,1221,1219,1134,30.76,0.37,1,30.76,0.37,1.3,0,0.00,0.00,0,0.00,0.00
10496,892,"52 -4  1","N 1087",173.77,-51.65,5,1525,1530,31.33,0.00,0.035,0.001,0.60,1,0.001,0.001,0.001,10.25,1,0.001,0.001,1521,238,1,3,30.54,0.00,1.0,0.001,11.18,-2.25,175.27,-51.38,-1.98,1522,1523,1561,1309,30.79,0.25,3,30.79,0.25,3.0,0,0.00,0.00,0,0.00,0.00
10507,874,"51 15 15","N 1090",173.50,-51.44,4,2765,2770,32.62,0.00,0.033,0.11,0.43,2,0.001,0.001,0.001,11.12,2,9.96,1,2762,341,1,3,32.20,0.10,1.5,0.001,12.20,-2.43,173.50,-51.44,-2.43,2765,2770,2809,2546,32.20,0.39,1,32.20,0.39,1.1,0,0.00,0.00,0,0.00,0.00
10586,324,"17 -1  1","U 2259",147.15,-19.79,8,589,698,30.01,0.00,0.073,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.10,-3.05,143.61,-20.18,-1.22,576,696,775,363,29.97,0.13,4,29.89,0.21,4.6,0,0.00,0.00,4,29.99,0.14
10588,890,"52 -2  1","U 2275",169.64,-48.12,9,1025,1042,30.71,0.00,0.050,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.30,-3.12,171.82,-51.65,-1.40,1131,1140,1181,907,30.45,0.28,2,30.45,0.28,2.4,0,0.00,0.00,0,0.00,0.00
10670,890,"52 -2  1","U 2302",171.73,-49.24,9,1105,1116,30.71,0.00,0.080,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.90,-3.36,171.82,-51.65,-1.40,1131,1140,1181,907,30.45,0.28,2,30.45,0.28,2.4,0,0.00,0.00,0,0.00,0.00
10673,889,"52 -1  1","N 1110",183.77,-56.09,9,1336,1317,31.19,0.00,0.042,0.001,0.20,1,0.001,0.001,0.001,13.06,1,0.001,0.001,1313,200,6,3,31.77,0.00,1.0,0.001,13.26,-3.08,181.87,-57.57,-1.52,1421,1406,1436,1205,31.19,0.13,5,30.78,0.20,5.6,1,30.97,0.41,1,31.44,0.16
10682,890,"52 -2  1",0246-02,177.06,-52.65,10,1094,1090,30.71,0.00,0.051,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.99,-3.40,171.82,-51.65,-1.40,1131,1140,1181,907,30.45,0.28,2,30.45,0.28,2.4,0,0.00,0.00,0,0.00,0.00
10813,890,"52 -2  1",0248+04,169.97,-47.19,0.001,990,1006,30.71,0.00,0.068,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.50,-3.60,171.82,-51.65,-1.40,1131,1140,1181,907,30.45,0.28,2,30.45,0.28,2.4,0,0.00,0.00,0,0.00,0.00
10854,892,"52 -4  1","U 2345",176.03,-51.16,9,1508,1507,31.33,0.00,0.073,0.001,0.37,1,0.001,0.001,0.001,13.89,1,0.001,0.001,1505,117,6,3,30.74,0.00,1.0,0.001,11.81,-2.50,175.27,-51.38,-1.98,1522,1523,1561,1309,30.79,0.25,3,30.79,0.25,3.0,0,0.00,0.00,0,0.00,0.00
10956,344,"18  0  1",UGC02370,145.81,-14.69,8,2163,2280,32.38,0.001,0.093,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,33.11,14.01,-3.22,150.73,-13.34,-2.67,2200,2301,2375,2040,33.11,0.41,0,0.00,0.00,0.0,1,33.11,0.41,0,0.00,0.00
10965,856,"51  0  4","N 1145",202.78,-60.47,5,1968,1914,31.59,0.00,0.037,0.07,0.20,1,0.001,0.001,0.001,11.44,1,0.001,0.001,1970,344,1,3,32.03,0.00,1.0,31.97,12.97,-2.93,202.78,-60.47,-2.93,1968,1914,1927,1785,32.00,0.29,1,32.03,0.41,1.0,1,31.97,0.41,0,0.00,0.00
10966,889,"52 -1  1","N 1140",188.35,-56.32,10,1508,1479,31.19,0.00,0.037,0.001,0.51,1,0.001,0.001,0.001,11.86,1,0.001,0.001,1480,215,6,2,31.47,0.00,1.0,0.001,12.54,-2.79,181.87,-57.57,-1.52,1421,1406,1436,1205,31.19,0.13,5,30.78,0.20,5.6,1,30.97,0.41,1,31.44,0.16
11139,237,"14 14 14",0255-54,271.79,-54.30,9,578,437,27.70,28.72,0.017,0.00,0.18,1,12.36,12.07,1,11.72,1,11.89,1,437,143,3,3,29.35,0.44,3.0,0.001,11.00,-2.21,271.79,-54.30,-2.21,578,437,399,495,28.79,0.15,1,29.35,0.36,1.3,0,0.00,0.00,1,28.72,0.16
11202,892,"52 -4  1",0255-02,179.08,-50.88,9,1539,1530,31.33,0.00,0.073,0.001,0.37,1,0.001,0.001,0.001,11.81,1,0.001,0.001,1532,219,6,3,31.09,0.00,1.0,0.001,12.56,-2.80,175.27,-51.38,-1.98,1522,1523,1561,1309,30.79,0.25,3,30.79,0.25,3.0,0,0.00,0.00,0,0.00,0.00
11282,774,"42-19 18","U 2411",130.66,14.83,5,2547,2713,32.77,0.00,0.537,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32.58,11.81,-2.23,131.75,16.19,-1.84,2526,2688,2767,2443,32.58,0.41,0,0.00,0.00,0.0,1,32.58,0.41,0,0.00,0.00
11329,340,"17  0  0","N 1156",156.32,-29.20,10,372,443,28.80,0.00,0.223,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.56,-2.43,156.32,-29.20,-2.43,372,443,508,171,28.25,0.13,0,0.00,0.00,0.0,0,0.00,0.00,1,28.25,0.13
11336,878,"51  0  0","U 2460",173.99,-46.98,4,2700,2705,32.62,0.00,0.079,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.10,-2.79,173.99,-46.98,-2.79,2700,2705,2746,2496,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
11359,868,"51 12 11","N 1163",201.17,-58.63,4,2274,2220,31.82,0.00,0.031,0.05,0.19,2,0.001,0.001,0.001,12.51,2,0.001,0.001,2228,334,3,3,32.99,0.00,1.0,32.39,13.68,-3.19,201.17,-58.63,-3.19,2274,2220,2234,2096,32.69,0.29,1,32.99,0.41,1.0,1,32.39,0.41,0,0.00,0.00
11368,342,"18 -1  1","U 2459",143.66,-8.54,8,2464,2592,32.62,0.00,0.439,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32.33,12.71,-2.63,145.36,-11.02,-1.71,2448,2569,2648,2278,32.55,0.28,1,32.74,0.39,1.1,1,32.33,0.41,0,0.00,0.00
11371,345,"18  0  0","U 2463",148.07,-16.23,9,1899,2008,32.02,0.00,0.156,0.001,0.70,1,0.001,0.001,0.001,12.77,1,0.001,0.001,2010,216,6,3,32.90,0.00,1.0,0.001,13.30,-3.00,146.05,-12.56,-2.02,1948,2066,2144,1775,32.90,0.41,1,32.90,0.41,1.0,0,0.00,0.00,0,0.00,0.00
11383,343,"18 -2  1",N1159,146.60,-13.69,3,2633,2748,32.77,0.00,0.159,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.58,-2.94,147.48,-13.56,-1.62,2741,2853,2930,2568,31.92,0.30,2,31.92,0.30,2.1,0,0.00,0.00,0,0.00,0.00
11403,342,"18 -1  1",N1160,145.78,-12.08,6,2494,2613,32.62,0.00,0.229,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.30,-2.07,145.36,-11.02,-1.71,2448,2569,2648,2278,32.55,0.28,1,32.74,0.39,1.1,1,32.33,0.41,0,0.00,0.00
11404,345,"18  0  0",N1161,145.81,-12.13,-2,1954,2073,32.02,0.00,0.218,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,10.98,-2.07,146.05,-12.56,-2.02,1948,2066,2144,1775,32.90,0.41,1,32.90,0.41,1.0,0,0.00,0.00,0,0.00,0.00
11420,857,"51  0  4","N 1172",197.50,-57.34,-4,1534,1486,31.59,31.66,0.067,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.81,-2.87,195.40,-60.48,-2.49,1498,1457,1476,1301,31.66,0.17,0,0.00,0.00,0.0,0,0.00,0.00,1,31.66,0.17
11479,851,"51 -6  4","N 1187",212.10,-60.05,5,1394,1323,31.04,0.00,0.022,0.04,0.70,1,11.53,10.31,1,9.90,1,0.001,0.001,1323,284,4,2,31.32,0.04,2.5,0.001,11.29,-2.31,212.10,-59.75,-2.23,1383,1311,1316,1220,31.38,0.28,2,31.38,0.28,2.4,0,0.00,0.00,0,0.00,0.00
11480,852,"51 -7  4","N 1179",204.68,-58.82,6,1781,1721,31.46,0.00,0.024,0.06,0.72,2,12.35,11.47,1,11.21,2,0.001,0.001,1718,200,1,2,31.26,0.16,2.5,0.001,12.00,-2.56,208.07,-56.90,-1.61,1662,1592,1600,1505,32.08,0.13,3,30.97,0.23,3.6,0,0.00,0.00,1,32.28,0.13
11521,342,"18 -1  1","N 1169",145.41,-10.63,3,2397,2518,32.62,0.00,0.214,1.05,0.66,1,0.001,0.001,0.001,9.88,1,8.57,1,2506,469,2,2,32.74,0.14,1.5,0.001,11.31,-2.07,145.36,-11.02,-1.71,2448,2569,2648,2278,32.55,0.28,1,32.74,0.39,1.1,1,32.33,0.41,0,0.00,0.00
11527,870,"51-14 14","N 1199",199.19,-57.27,-5,2581,2529,32.55,32.60,0.056,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.41,-2.55,199.42,-57.00,-2.21,2630,2578,2594,2452,32.71,0.19,0,0.00,0.00,0.0,0,0.00,0.00,2,32.71,0.19
11543,776,"42  0 18","U 2485",131.62,13.86,6,2013,2178,32.47,0.00,0.495,0.001,0.72,1,0.001,0.001,0.001,14.16,1,0.001,0.001,2178,129,8,3,31.87,0.00,1.0,0.001,14.52,-3.41,134.54,13.57,-2.22,2181,2337,2416,2093,31.82,0.29,2,31.82,0.29,2.0,0,0.00,0.00,0,0.00,0.00
11552,343,"18 -2  1","N 1171",147.02,-13.19,6,2747,2861,32.77,0.00,0.158,0.99,0.47,2,0.001,0.001,0.001,11.61,2,10.20,1,2857,292,1,3,31.91,0.27,1.5,0.001,11.90,-2.27,147.48,-13.56,-1.62,2741,2853,2930,2568,31.92,0.30,2,31.92,0.30,2.1,0,0.00,0.00,0,0.00,0.00
11559,850,"51 -5  4","N 1201",218.55,-60.39,-2,1722,1641,31.46,31.53,0.015,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.58,-2.39,218.69,-58.24,-1.76,1709,1623,1622,1564,31.50,0.13,3,31.31,0.24,3.3,0,0.00,0.00,1,31.53,0.13
11595,1004,"53  0  0",0303-46,257.36,-57.58,7,1391,1263,31.19,0.00,0.014,0.00,0.20,1,0.001,0.001,0.001,12.50,1,0.001,0.001,1252,204,3,3,31.33,0.00,1.0,32.15,13.43,-3.15,257.36,-57.58,-3.15,1391,1263,1235,1289,31.74,0.29,1,31.33,0.41,1.0,1,32.15,0.41,0,0.00,0.00
11617,343,"18 -2  1",N1186,147.55,-13.54,4,2762,2874,32.77,0.00,0.136,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,11.13,-1.96,147.48,-13.56,-1.62,2741,2853,2930,2568,31.92,0.30,2,31.92,0.30,2.1,0,0.00,0.00,0,0.00,0.00
11638,870,"51-14 14","N 1209",199.64,-56.74,-5,2679,2626,32.55,32.77,0.037,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.22,-2.47,199.42,-57.00,-2.21,2630,2578,2594,2452,32.71,0.19,0,0.00,0.00,0.0,0,0.00,0.00,2,32.71,0.19
11643,343,"18 -2  1","U 2531",147.90,-13.87,8,2717,2828,32.77,0.00,0.166,0.001,0.36,1,0.001,0.001,0.001,11.08,1,0.001,0.001,2833,355,6,3,31.93,0.00,1.0,0.001,11.70,-2.19,147.48,-13.56,-1.62,2741,2853,2930,2568,31.92,0.30,2,31.92,0.30,2.1,0,0.00,0.00,0,0.00,0.00
11677,858,"51  0  4",0304-14,197.30,-55.80,9,1530,1481,31.59,0.00,0.075,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.30,-3.46,197.34,-55.61,-3.07,1553,1503,1520,1379,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
11744,858,"51  0  4",A0305-14,197.36,-55.48,4,1568,1518,31.59,0.00,0.068,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.88,-3.30,197.34,-55.61,-3.07,1553,1503,1520,1379,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
11750,879,"51  0  0",0306-23,213.14,-58.79,8,2888,2812,32.70,0.00,0.025,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.85,-3.08,213.14,-58.79,-3.08,2888,2812,2816,2731,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
11774,880,"51  0  0","N 1222",182.60,-49.21,-3,2482,2464,32.47,0.00,0.059,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.66,-3.47,182.60,-49.21,-3.47,2482,2464,2496,2296,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
11793,775,"42  0 18",0302+795,128.82,18.87,6,2377,2545,32.47,0.00,0.264,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.16,-2.87,129.66,19.28,-2.49,2285,2450,2528,2213,32.91,0.29,1,32.96,0.41,1.0,1,32.87,0.41,0,0.00,0.00
11812,952,"53 -9  7",0307-41,248.01,-58.46,9,950,830,30.08,0.00,0.016,0.00,0.46,2,13.32,12.34,1,11.83,2,11.85,1,833,149,6,3,30.18,0.12,3.0,0.001,11.86,-2.55,247.61,-57.17,-1.54,841,717,694,736,30.18,0.36,1,30.18,0.36,1.3,0,0.00,0.00,0,0.00,0.00
11819,852,"51 -7  4","N 1232",208.77,-57.81,5,1684,1614,31.46,0.00,0.026,0.04,0.82,2,10.36,9.50,1,9.15,2,0.001,0.001,1612,252,4,2,30.81,0.21,2.5,0.001,10.39,-1.91,208.07,-56.90,-1.61,1662,1592,1600,1505,32.08,0.13,3,30.97,0.23,3.6,0,0.00,0.00,1,32.28,0.13
11834,852,"51 -7  4",0307-20,208.84,-57.74,9,1779,1709,31.46,0.00,0.027,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.87,-3.71,208.07,-56.90,-1.61,1662,1592,1600,1505,32.08,0.13,3,30.97,0.23,3.6,0,0.00,0.00,1,32.28,0.13
11836,953,"53  0  7","N 1249",268.22,-53.40,6,1007,863,30.31,0.00,0.017,0.00,0.44,2,11.95,11.42,1,10.94,2,10.24,1,928,240,1,2,30.76,0.29,3.0,30.18,11.60,-2.45,268.22,-53.40,-2.45,1007,863,825,931,30.51,0.27,1,30.76,0.36,1.3,1,30.18,0.41,0,0.00,0.00
11851,851,"51 -6  4",0308-22,212.12,-58.21,6,1328,1253,31.04,0.00,0.023,0.00,0.20,1,0.001,0.001,0.001,11.67,1,10.81,1,1249,268,3,3,31.45,0.02,1.5,0.001,13.06,-3.01,212.10,-59.75,-2.23,1383,1311,1316,1220,31.38,0.28,2,31.38,0.28,2.4,0,0.00,0.00,0,0.00,0.00
11856,846,"51  0  1",0308-33,232.84,-59.47,9,1130,1027,30.88,0.00,0.016,0.001,0.24,1,0.001,0.001,0.001,13.35,1,0.001,0.001,1016,147,6,3,31.13,0.00,1.0,0.001,13.85,-3.34,232.84,-59.47,-3.34,1130,1027,1016,998,31.13,0.41,1,31.13,0.41,1.0,0,0.00,0.00,0,0.00,0.00
11968,869,"51-13 13",0310-05,186.31,-49.86,6,2252,2224,32.21,0.00,0.062,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14.87,-3.60,185.71,-48.48,-2.40,2232,2206,2235,2057,32.45,0.41,0,0.00,0.00,0.0,1,32.45,0.41,0,0.00,0.00
11984,942,"53  0  1",0311-57,273.28,-50.82,6,1140,989,30.88,0.00,0.022,0.00,0.69,1,0.001,0.001,0.001,10.94,1,10.69,1,995,232,1,3,31.71,0.34,1.5,0.001,12.64,-2.86,273.28,-50.82,-2.86,1140,989,946,1079,31.71,0.39,1,31.71,0.39,1.1,0,0.00,0.00,0,0.00,0.00
12007,850,"51 -5  4","N 1255",218.61,-58.25,4,1699,1613,31.46,0.00,0.014,0.00,0.65,1,0.001,0.001,0.001,10.37,1,9.85,1,1603,254,1,3,31.24,0.18,1.5,0.001,11.41,-2.32,218.69,-58.24,-1.76,1709,1623,1622,1564,31.50,0.13,3,31.31,0.24,3.3,0,0.00,0.00,1,31.53,0.13
12011,850,"51 -5  4",0311-25,217.61,-58.10,9,1735,1650,31.46,0.00,0.016,0.00,0.21,1,0.001,0.001,0.001,12.83,1,12.55,1,1650,182,6,2,31.34,0.14,1.5,0.001,12.35,-2.70,218.69,-58.24,-1.76,1709,1623,1622,1564,31.50,0.13,3,31.31,0.24,3.3,0,0.00,0.00,1,31.53,0.13
12041,929,"52  0  0","N 1253",183.68,-48.12,6,1709,1688,31.59,0.00,0.090,0.19,0.38,1,0.001,0.001,0.001,10.78,1,10.03,1,1689,324,1,2,31.60,0.22,1.5,0.001,11.91,-2.51,183.69,-48.11,-2.44,1726,1705,1736,1547,31.60,0.39,1,31.60,0.39,1.1,0,0.00,0.00,0,0.00,0.00
12053,929,"52  0  0",N1253A,183.72,-48.06,9,1821,1800,31.59,0.00,0.090,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.76,-3.25,183.69,-48.11,-2.44,1726,1705,1736,1547,31.60,0.39,1,31.60,0.39,1.1,0,0.00,0.00,0,0.00,0.00
12068,869,"51-13 13",0312-04,186.15,-49.22,10,2218,2191,32.21,0.00,0.066,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.87,-3.20,185.71,-48.48,-2.40,2232,2206,2235,2057,32.45,0.41,0,0.00,0.00,0.0,1,32.45,0.41,0,0.00,0.00
12130,869,"51-13 13",P012130,187.34,-49.38,2,2324,2294,32.21,0.001,0.072,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32.45,12.99,-2.85,185.71,-48.48,-2.40,2232,2206,2235,2057,32.45,0.41,0,0.00,0.00,0.0,1,32.45,0.41,0,0.00,0.00
12131,869,"51-13 13",N1266,183.67,-47.51,-2,2194,2173,32.21,0.00,0.098,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.24,-2.95,185.71,-48.48,-2.40,2232,2206,2235,2057,32.45,0.41,0,0.00,0.00,0.0,1,32.45,0.41,0,0.00,0.00
12145,859,"51  0  4",0314-24,216.03,-57.36,10,2077,1994,31.59,0.00,0.020,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.85,-3.28,216.03,-57.36,-3.28,2077,1994,1995,1933,0.00,0.00,0,0.00,0.00,0.0,0,0.00,0.00,0,0.00,0.00
12181,843,"51 -1  1",0314-35,237.26,-58.02,6,1572,1460,31.49,0.00,0.024,0.00,0.66,2,0.001,0.001,0.001,12.63,2,12.65,1,1459,149,6,2,31.54,0.28,1.5,0.001,12.64,-2.83,237.63,-54.73,-0.94,1583,1461,1443,1483,31.40,0.10,10,31.14,0.16,10.5,3,31.22,0.25,25,31.46,0.11
12209,952,"53 -9  7","N 1291",247.57,-57.03,0,829,705,30.08,0.00,0.013,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,9.42,-1.58,247.61,-57.17,-1.54,841,717,694,736,30.18,0.36,1,30.18,0.36,1.3,0,0.00,0.00,0,0.00,0.00
12285,847,"51  0  1","N 1292",222.43,-57.55,5,1370,1277,31.57,0.00,0.018,0.00,0.42,2,12.94,11.70,1,11.26,2,10.46,1,1274,259,1,3,31.39,0.07,3.0,0.001,12.20,-2.67,221.62,-57.33,-2.56,1383,1290,1286,1247,31.39,0.36,1,31.39,0.36,1.3,0,0.00,0.00,0,0.00,0.00
12286,236,"14-14 14","N 1313",283.36,-44.64,7,462,298,27.70,28.05,0.108,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,9.26,-1.52,283.30,-45.37,-1.52,467,305,252,434,28.18,0.16,0,0.00,0.00,0.0,0,0.00,0.00,3,28.18,0.16
12309,850,"51 -5  4",0316-26,219.19,-57.17,6,1802,1713,31.46,0.00,0.015,0.00,0.31,1,0.001,0.001,0.001,12.05,1,11.33,1,1708,222,1,3,31.34,0.06,1.5,0.001,13.06,-2.98,218.69,-58.24,-1.76,1709,1623,1622,1564,31.50,0.13,3,31.31,0.24,3.3,0,0.00,0.00,1,31.53,0.13
12327,850,"51 -5  4",0316-23,215.54,-56.68,10,1536,1452,31.46,0.00,0.021,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13.48,-3.15,218.69,-58.24,-1.76,1709,1623,1622,1564,31.50,0.13,3,31.31,0.24,3.3,0,0.00,0.00,1,31.53,0.13
12373,852,"51 -7  4","N 1297",207.60,-55.21,-2,1554,1482,31.46,32.28,0.027,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12.60,-2.80,208.07,-56.90,-1.61,1662,1592,1600,1505,32.08,0.13,3,30.97,0.23,3.6,0,0.00,0.00,1,32.28,0.13
12390,950,"53 -7  7",0317-49,261.49,-53.89,7,1031,889,30.31,0.00,0.020,0.00,0.50,1,0.001,12.50,1,11.88,2,0.001,0.001,891,216,1,3,31.62,0.15,2.0,0.001,12.03,-2.62,252.90,-50.10,-1.32,1049,900,866,992,31.13,0.12,10,30.97,0.16,11.5,3,31.09,0.25,2,31.38,0.17
12404,844,"51  2  1",0317-32,231.50,-57.57,3,1287,1181,31.24,0.00,0.016,0.001,0.21,1,0.001,0.001,0.001,13.17,1,0.001,0.001,1341,197,3,3,31.89,0.00,1.0,31.29,14.14,-3.43,229.60,-55.01,-1.92,1175,1073,1061,1073,31.50,0.13,4,31.56,0.22,4.2,2,31.18,0.30,3,31.57,0.16
