"The Catalogue of Principal Galaxies (PGC) Number","Revised Flat Galaxy Catalogue #, Bull. Spec. Astrophys. Obs. 47,5,1999","Original Flat Galaxy Catalog number","PGC number used by Karachentsev et al. astro-ph/0305566","Galactic longitude","Galactic latitude","Position angle; north thru east","Major blue diameter in arcmin on POSS-I system; conv. from ESO/SERC aj: ao=0.8078aj","Minor blue diameter in arcmin on POSS-I system; conv. from ESO/SERC bj: bo=0.7827bj","Major red diameter in arcmin on POSS-I system; conv. from ESO/SERC ar: ae=0.8640ar","Minor red diameter in arcmin on POSS-I system; conv. from ESO/SERC br: be=0.9730br","Total blue magnitude calculated by formula in ref; depends on size, type, surface br, and color index","Galactic extinction in B band","Morphological type in RC3 system","Index of asymmetry: 0=little to 2=pronounced","Index of surface brightness: I=high to IV=very low","Number of neighbors with size from ao/2 to 2ao within R=10ao","Notes describe morph peculiarities or galaxy environment","Right Ascention (J2000)","Declination (J2000)"
25895,1502,850,25895,208.96,39.30,5,1.80,0.12,1.68,0.15,16.1,0.18,c,0,III,2,Dusty,9.186055555560000,19.667777777800000
25900,1503,734E,25900,251.71,16.26,4,0.90,0.10,1.02,0.11,16.5,0.80,d,0,II,1,0.001,9.188666666670000,-24.041944444400000
25926,1504,853,25926,248.66,18.90,167,4.76,0.31,4.76,0.31,14.4,0.62,d,0,III,0,"Very dusty",9.198472222220000,-20.116666666700000
25942,1505,852,25942,166.44,42.54,150,1.03,0.12,1.01,0.13,16.4,0.07,c,0,II,0,0.001,9.204666666670000,51.616944444400000
26012,1508,857,26012,195.93,42.52,76,1.74,0.22,1.88,0.24,15.3,0.12,bc,1,II,4,"Dust lane",9.225805555560000,29.999722222200000
26086,1513,861,26086,182.26,43.86,12,1.99,0.24,1.90,0.22,15.2,0.07,c,0,II,1,Two-layers,9.250666666670000,40.036944444400000
26122,1515,735E,26122,252.13,17.25,61,1.34,0.16,1.21,0.17,16.0,0.55,d,1,III,3,0.001,9.262000000000000,-23.701111111100000
26135,1516,866,26135,248.34,20.40,77,1.15,0.15,1.10,0.13,16.2,0.29,dm,0,III,0,0.001,9.266388888890000,-18.925833333300000
26154,1519,855,26154,133.25,33.09,104,1.18,0.15,1.22,0.15,15.9,0.08,bc,1,I,2,0.001,9.272333333330000,79.275277777800000
26264,1522,867,26264,162.77,42.89,30,1.12,0.10,1.18,0.10,16.4,0.07,d,0,II,0,0.001,9.300861111110000,54.192222222200000
26287,1523,870,26287,212.05,40.23,78,1.81,0.20,1.68,0.22,15.5,0.11,c,0,II,0,"Blue condensation",9.305527777780000,17.753333333300000
26294,1524,869,26294,169.04,43.84,27,1.18,0.15,1.18,0.18,16.0,0.07,cd,1,II,1,0.001,9.308611111110000,49.545555555600000
26381,1527,871,26381,146.41,38.96,139,1.20,0.11,1.12,0.13,16.5,0.45,c,0,III,0,"Red nucleus",9.331277777780000,67.143611111100000
26390,1528,873,26390,186.28,44.72,143,2.90,0.39,2.63,0.47,14.5,0.04,bc,0,II,0,0.001,9.332666666670000,37.191111111100000
26397,1529,874,26397,192.00,44.37,145,1.23,0.13,1.19,0.16,16.1,0.07,c,1,II,4,"2nd component of pair at 1.5W",9.333944444440000,33.102222222200000
26407,1530,876,26407,222.76,36.97,153,2.02,0.11,1.57,0.16,16.1,0.21,d,0,III,0,0.001,9.337000000000000,8.793055555560000
26455,1534,740E,26455,260.17,11.69,71,2.89,0.35,2.81,0.38,14.6,0.89,b,0,II,0,"Dust lane. Star projected",9.350000000000000,-33.191111111100000
26476,1535,742E,26476,261.13,10.89,36,1.27,0.16,1.40,0.21,15.9,1.08,c,1,II,1,Diffuse,9.355722222220000,-34.428888888900000
26482,1536,879,26482,210.13,41.54,92,1.43,0.16,1.25,0.21,15.9,0.12,b,0,II,1,0.001,9.356666666670000,19.566944444400000
26495,1538,881,26495,183.01,45.14,103,1.66,0.19,1.69,0.22,15.6,0.06,bc,0,II,0,0.001,9.362722222220000,39.524722222200000
26498,1537,877,26498,149.75,40.28,60,4.31,0.53,4.28,0.55,13.9,0.25,c,2,II,1,"Badge. Irr. compan. at 3.8 W",9.362527777780000,64.257777777800000
26569,1543,743E,26569,255.82,16.33,1,1.56,0.17,1.26,0.19,15.8,0.44,c,1,II,1,"""Broken"". Stars projected",9.386611111110000,-26.941944444400000
26596,1544,746E,26596,282.19,-9.54,50,1.36,0.16,1.30,0.20,15.8,0.96,d,2,II,2,0.001,9.391000000000000,-63.686944444400000
26604,1545,744E,26604,252.43,19.41,26,0.99,0.13,1.02,0.11,16.3,0.27,cd,0,II,0,"Diffuse. Slightly curved",9.392611111110000,-22.483055555600000
26625,1548,885,26625,179.21,45.48,176,1.32,0.15,1.25,0.17,15.8,0.07,c,0,I,1,0.001,9.396666666670000,42.183888888900000
26699,1552,748E,26699,263.66,9.51,49,1.99,0.17,1.84,0.20,15.7,0.74,c,0,III,1,"Two-layers. V.f.disk",9.418666666670000,-37.168055555600000
26715,1553,888,26715,219.62,39.57,108,1.23,0.11,1.05,0.11,16.3,0.18,dm,2,II,0,"V.compact compan.at 2.5 W",9.420666666670000,12.156111111100000
26721,1554,891,26721,220.90,39.14,140,1.12,0.15,1.12,0.13,16.2,0.14,cd,0,III,0,0.001,9.423333333330000,11.073888888900000
26727,1555,890,26727,189.70,45.72,38,1.23,0.10,1.18,0.10,16.5,0.09,dm,1,III,0,"Brightness grad.from N to S",9.428666666670000,34.856111111100000
26824,1556,749E,26824,287.35,-13.98,53,1.72,0.09,1.55,0.11,16.4,0.67,cd,0,III,0,"Star projected",9.457666666670000,-70.397500000000000
26871,1560,892,26871,148.57,40.64,166,1.74,0.11,1.62,0.11,16.0,0.28,d,0,II,0,0.001,9.469472222220000,64.934444444400000
26875,1559,893,26875,160.55,43.97,80,0.84,0.11,0.84,0.11,16.6,0.09,cd,1,II,2,"Spiral 0.5 at 1.5 E",9.468666666670000,55.483055555600000
26899,1561,895,26899,165.83,45.07,160,1.55,0.15,1.51,0.17,15.9,0.06,dm,0,III,0,0.001,9.480388888890000,51.559722222200000
26907,1563,750E,26907,264.70,9.58,157,1.97,0.17,1.94,0.21,15.5,0.90,bc,0,II,0,"Dust lane",9.484000000000000,-37.840000000000000
27054,1566,902,27054,248.60,25.12,141,1.84,0.21,1.80,0.22,15.3,0.35,d,1,II,0,0.001,9.528000000000000,-16.041944444400000
27059,1567,900,27059,230.05,36.98,172,1.55,0.11,1.28,0.13,16.2,0.17,d,1,II,0,0.001,9.529388888890000,3.728611111110000
27066,1568,904,27066,249.17,24.74,91,1.49,0.12,1.68,0.15,16.1,0.26,d,0,III,2,0.001,9.531611111110000,-16.679166666700000
27069,1569,903,27069,242.33,29.86,158,1.68,0.15,1.36,0.15,15.9,0.21,cd,0,II,0,0.001,9.533333333330000,-8.732500000000000
27285,1583,911,27285,170.29,46.90,36,1.57,0.22,1.55,0.22,15.6,0.08,bc,1,III,1,"Sharp red nucleus",9.598611111110000,48.146666666700000
27313,1585,758E,27313,256.39,19.86,102,1.01,0.13,0.97,0.11,16.3,0.27,cd,0,II,3,"= FGCE 757. In group",9.602666666670000,-24.886111111100000
27371,1589,914,27371,219.13,42.92,133,1.59,0.19,1.52,0.19,15.8,0.17,c,1,III,0,"Slightly diffuse N-edge",9.618138888890000,13.893888888900000
27549,1592,917,27549,184.58,48.58,149,1.12,0.13,1.10,0.13,16.2,0.06,cd,1,II,0,0.001,9.657333333330000,38.430000000000000
27558,1593,918,27558,222.41,42.44,54,1.21,0.17,1.15,0.18,15.9,0.13,dm,1,II,0,Knotty,9.659333333330000,11.510000000000000
27570,1595,919,27570,210.15,46.07,140,1.12,0.10,1.12,0.11,16.4,0.11,d,0,II,1,0.001,9.662666666670000,21.000000000000000
27578,1596,762E,27578,255.64,21.76,70,0.92,0.07,0.87,0.09,16.9,0.27,c,0,II,1,"V.good representative",9.665333333330000,-23.053055555600000
27630,1600,925,27630,222.55,42.74,22,1.31,0.16,1.29,0.17,15.7,0.11,dm,2,I,3,"In contact w.compact compan.",9.680666666670000,11.551944444400000
27634,1601,923,27634,194.70,48.58,14,0.96,0.11,0.90,0.11,16.5,0.08,d,0,II,1,0.001,9.681472222220000,31.744166666700000
27669,1602,924,27669,162.84,46.50,55,1.05,0.15,1.00,0.16,16.2,0.06,bc,0,II,1,0.001,9.691611111110000,53.195833333300000
27681,1603,927,27681,222.82,42.83,132,2.67,0.34,2.55,0.34,14.7,0.09,bc,0,II,1,"Dust lane.6 small neighbours",9.692277777780000,11.413333333300000
27695,1606,926,27695,170.07,47.91,6,0.93,0.10,0.82,0.10,16.6,0.06,d,1,II,2,"Brighter compan.1.3 at 4.0 N",9.700666666670000,48.091944444400000
27699,1604,928,27699,192.06,48.94,108,1.10,0.12,0.99,0.12,16.4,0.06,c,0,II,0,0.001,9.697333333330000,33.511388888900000
27826,1608,930,27826,191.29,49.32,47,1.32,0.16,1.32,0.17,16.1,0.05,bc,1,III,2,0.001,9.725388888890000,34.042222222200000
27896,1615,770E,27896,259.46,19.59,50,1.14,0.16,1.26,0.17,16.0,0.45,bc,0,II,2,0.001,9.742000000000000,-27.106944444400000
27901,1616,769E,27901,257.13,21.87,88,0.90,0.09,0.97,0.11,16.6,0.27,d,1,II,0,"Comp.gal.or br.knot on W side",9.742666666670000,-23.950833333300000
27911,1617,771E,27911,255.10,23.80,38,0.95,0.09,0.87,0.11,16.7,0.26,d,0,II,3,0.001,9.744472222220000,-21.262500000000000
28015,1622,773E,28015,283.78,-7.52,65,1.76,0.17,1.64,0.21,15.6,1.11,d,1,II,0,"Dust lane. Knot. Stars proj.",9.769027777780000,-63.272222222200000
28018,1624,935,28018,142.81,40.28,151,2.13,0.22,2.13,0.24,15.2,0.43,cd,1,II,1,0.001,9.773666666670000,68.957222222200000
28036,1623,772E,28036,273.06,5.21,4,2.80,0.35,2.27,0.27,14.8,2.11,d,0,III,0,"Very diffuse",9.772666666670000,-46.648888888900000
28088,1627,939,28088,208.00,48.24,150,1.52,0.13,1.40,0.13,16.0,0.12,cd,0,II,1,0.001,9.781611111110000,23.023333333300000
28098,1626,931,28098,131.77,33.91,78,2.49,0.22,2.49,0.22,15.1,0.09,cd,1,II,0,0.001,9.780666666670000,79.810833333300000
28128,1628,942,28128,204.04,49.00,106,1.32,0.17,1.32,0.18,15.8,0.09,cd,0,II,1,"Blue condensations",9.789277777780000,25.745555555600000
28136,1629,944,28136,238.79,37.01,160,2.80,0.34,2.46,0.30,14.8,0.19,dm,1,III,0,"S-side broader than N one",9.792666666670000,-2.032500000000000
28159,1633,945,28159,218.07,46.08,50,1.70,0.19,1.72,0.21,15.5,0.19,bc,0,II,0,"Slightly curved",9.797333333330000,15.851944444400000
28190,1637,775E,28190,272.62,6.35,103,0.98,0.09,1.05,0.11,16.7,0.81,c,0,III,1,"Diffuse. Faint nucleus",9.811194444440000,-45.499166666700000
28248,1640,952,28248,219.87,45.96,128,1.75,0.15,1.46,0.18,15.8,0.15,c,2,II,0,0.001,9.824000000000000,14.658055555600000
28308,1642,954,28308,248.64,31.13,126,1.84,0.22,1.88,0.22,15.3,0.18,cd,2,II,1,Wavy,9.837333333330000,-12.056944444400000
28396,1645,957,0.001,239.24,37.96,149,1.06,0.11,0.97,0.11,16.5,0.28,d,1,III,2,"Sp. in contact at 0.7 S",9.857333333330000,-1.749166666670000
28461,1646,776E,28461,262.26,19.35,77,1.34,0.10,1.36,0.11,16.3,0.36,c,0,II,1,0.001,9.876666666670000,-29.068888888900000
28495,1652,962,28495,177.42,50.84,158,1.46,0.16,1.41,0.17,15.8,0.05,d,0,II,3,"A larger spiral at 5.0 W",9.889277777780000,42.844722222200000
28517,1654,965,28517,236.20,40.37,113,5.71,0.63,5.04,0.62,13.3,0.11,d,1,I,0,0.001,9.894666666670000,1.579444444440000
28520,1655,966,28520,235.35,40.84,85,1.32,0.17,1.23,0.20,15.9,0.16,b,0,II,1,0.001,9.895333333330000,2.373888888890000
28530,1656,777E,28530,266.19,15.42,54,0.82,0.10,0.87,0.12,16.7,0.48,c,0,II,0,0.001,9.897333333330000,-34.486944444400000
28531,1657,967,28531,227.88,44.32,167,1.12,0.12,1.03,0.12,16.3,0.17,cd,0,II,1,0.001,9.897333333330000,8.878333333330000
28547,1659,968,28551,186.21,51.54,58,1.40,0.17,1.40,0.17,15.8,0.06,cd,0,II,1,0.001,9.904194444440000,37.298888888900000
28582,1660,969,28582,198.37,51.28,3,1.21,0.11,1.03,0.10,16.5,0.06,d,0,III,0,0.001,9.911000000000000,29.716388888900000
28700,1670,976,28700,212.46,49.71,58,3.10,0.21,2.78,0.25,15.0,0.13,cd,0,II,0,"Dust lane",9.943333333330000,20.646111111100000
28722,1671,978,28722,234.88,42.06,79,0.83,0.11,0.81,0.12,16.5,0.12,c,1,I,1,0.001,9.949666666670000,3.356666666670000
28741,1672,979,28741,233.62,42.78,18,1.77,0.15,1.38,0.16,15.7,0.22,cd,0,I,0,0.001,9.954666666670000,4.528055555560000
28776,1674,980,28776,188.17,52.27,46,0.95,0.09,1.01,0.08,16.7,0.05,d,1,III,8,"S-shaped.In nest. Blue knots",9.962000000000000,36.069166666700000
28820,1676,982,28820,241.99,38.57,40,1.09,0.15,1.09,0.19,16.1,0.17,bc,0,II,1,0.001,9.978000000000000,-3.072500000000000
28840,1678,783E,28840,264.21,19.37,153,3.26,0.44,3.00,0.44,14.1,0.32,cd,0,I,2,"In pair",9.984666666670000,-30.250000000000000
28867,1679,784E,28867,258.47,25.54,72,1.08,0.08,0.67,0.09,17.0,0.20,c,0,II,2,"Slightly bifurcated ends",9.989611111110000,-22.120277777800000
28909,1682,786E,28909,263.92,19.98,75,6.06,0.70,6.29,0.76,13.0,0.33,b,0,I,1,"Dust lane",9.998722222220000,-29.617222222200000
29022,1690,788E,29022,257.58,27.16,7,2.12,0.22,1.60,0.21,15.4,0.19,c,0,II,1,0.001,10.025694444400000,-20.383055555600000
29028,1691,992,29028,211.57,51.11,9,1.23,0.12,1.34,0.13,16.1,0.12,d,0,II,0,0.001,10.026611111100000,21.607222222200000
29030,1692,990,29030,182.25,52.80,121,2.06,0.20,2.02,0.21,15.3,0.05,cd,0,II,1,0.001,10.027000000000000,39.627222222200000
29043,1695,993,29043,187.42,53.08,55,1.68,0.20,1.40,0.20,15.5,0.05,dm,2,II,2,0.001,10.030000000000000,36.498333333300000
29058,1697,996,29058,217.26,49.99,126,0.83,0.11,0.90,0.13,16.5,0.17,cd,0,II,0,0.001,10.035333333300000,17.823055555600000
29086,1700,998,29086,245.64,37.43,14,4.31,0.30,4.03,0.30,14.5,0.16,dm,1,III,1,Two-layers.,10.043333333300000,-6.013611111110000
29096,1702,791E,29096,272.47,10.59,116,2.48,0.28,2.27,0.33,14.9,0.89,bc,0,II,0,"Dust lane. Knots.Stars proj.",10.045305555600000,-42.090000000000000
29156,1703,1000,29156,224.08,48.39,14,1.12,0.11,1.01,0.12,16.4,0.15,d,1,II,3,"Curved jet from S edge",10.058194444400000,13.103333333300000
29160,1705,794E,29160,287.85,-9.63,84,1.81,0.17,1.94,0.30,15.6,0.91,m,1,III,1,"Diffuse. Curved. In group",10.059166666700000,-67.449444444400000
29212,1710,1005,29212,221.95,49.33,176,1.40,0.11,1.37,0.12,16.2,0.13,c,0,II,0,0.001,10.074861111100000,14.769444444400000
29214,1709,795E,29214,272.32,11.32,18,2.35,0.28,2.44,0.33,14.9,0.65,c,0,II,0,"Central ring-like structure",10.074000000000000,-41.416111111100000
29221,1711,1002,29221,151.33,46.41,129,0.88,0.10,0.92,0.10,16.6,0.05,cd,0,II,0,0.001,10.077527777800000,60.466388888900000
29229,1712,1004,29229,158.06,48.87,171,2.18,0.30,1.99,0.29,15.0,0.03,dm,2,III,0,"Blue condensation",10.078277777800000,55.312500000000000
29233,1713,1007,29233,234.07,44.80,34,0.78,0.10,0.75,0.12,16.5,0.07,dm,1,I,1,0.001,10.080000000000000,5.369166666670000
29253,1714,1008,29253,212.04,51.84,47,1.25,0.16,1.22,0.15,16.1,0.13,cd,0,III,1,0.001,10.083138888900000,21.537777777800000
29261,1716,1006,29261,174.11,52.60,41,1.44,0.11,1.12,0.11,16.3,0.04,cd,1,II,3,"Galaxy 0.7 at 2.0 SW",10.085444444400000,44.519166666700000
29343,1722,1014,29343,222.31,49.68,26,1.09,0.12,0.97,0.13,16.4,0.15,bc,0,II,1,0.001,10.104000000000000,14.701944444400000
29346,1723,1016,29346,255.12,31.12,49,1.70,0.20,1.46,0.20,15.4,0.23,c,0,I,2,"May be member of wide triplet",10.104333333300000,-16.024444444400000
29466,1726,1018,29466,224.64,49.42,0,1.12,0.11,1.09,0.13,16.3,0.16,cd,1,II,2,0.001,10.132527777800000,13.227222222200000
29472,1727,1017,29472,160.84,50.27,132,5.04,0.67,4.82,0.62,13.3,0.02,c,1,I,0,0.001,10.136000000000000,53.083888888900000
29487,1731,798E,29487,266.37,20.07,167,1.11,0.13,1.14,0.13,16.1,0.36,d,0,II,1,"Diffuse. Curved ends",10.140500000000000,-30.995277777800000
29560,1734,1025,29560,259.41,28.24,102,0.78,0.08,0.88,0.09,16.8,0.24,d,0,II,0,0.001,10.162666666700000,-20.658888888900000
29613,1737,799E,29613,272.40,13.13,173,0.99,0.09,1.06,0.10,16.6,0.67,c,1,II,3,"Curved.Differ.length of arms",10.174694444400000,-40.011111111100000
29641,1739,800E,29641,266.43,20.84,70,1.72,0.15,1.82,0.13,15.7,0.34,c,0,II,0,"Compan. at 1.5 SW",10.180694444400000,-30.423888888900000
29688,1742,801E,29688,263.02,25.07,48,1.36,0.13,1.16,0.13,16.2,0.18,bc,0,II,1,0.001,10.194000000000000,-25.153888888900000
29698,1743,1031,29698,220.68,51.63,100,2.97,0.32,2.91,0.37,14.8,0.15,bc,1,III,0,"Asteroid's track at 2.3 W",10.198138888900000,16.440000000000000
29716,1745,802E,29716,276.98,7.40,109,3.17,0.27,3.39,0.30,14.7,0.81,c,0,II,0,"Dust lane",10.205305555600000,-47.295000000000000
29717,1744,1028,29717,148.63,46.30,117,1.12,0.11,0.99,0.11,16.4,0.06,d,1,II,1,0.001,10.203333333300000,62.096666666700000
29721,1746,1030,29721,151.59,47.66,135,0.92,0.12,1.01,0.12,16.4,0.03,c,0,II,2,0.001,10.206666666700000,59.661111111100000
29743,1747,803E,29743,265.07,23.13,138,2.89,0.28,2.51,0.44,14.7,0.28,cd,0,I,1,"Star proj. near the centre",10.213305555600000,-27.841111111100000
29746,1748,1035,29746,233.55,47.42,81,1.90,0.22,1.62,0.21,15.5,0.11,dm,0,III,0,0.001,10.213666666700000,7.103611111110000
29795,1753,804E,29795,275.07,10.45,128,2.28,0.22,2.25,0.24,15.2,0.63,bc,0,II,3,"Dust lane",10.225111111100000,-43.717777777800000
29802,1754,1037,29802,215.18,53.33,66,1.77,0.22,1.68,0.24,15.4,0.12,c,0,II,0,0.001,10.225666666700000,20.175000000000000
29813,1756,1038,29813,218.41,52.67,138,1.65,0.20,1.46,0.21,15.6,0.15,c,2,II,1,"Weak interaction",10.228527777800000,18.125277777800000
29858,1757,805E,29858,274.58,11.38,12,1.23,0.16,1.31,0.19,15.9,0.67,c,0,II,0,0.001,10.238000000000000,-42.681111111100000
29865,1758,1040,29865,212.13,54.10,42,1.83,0.22,1.99,0.27,15.3,0.09,c,1,II,0,0.001,10.239333333300000,22.125000000000000
29956,1761,1043,29956,233.85,48.14,146,2.91,0.17,2.69,0.18,15.2,0.12,d,0,II,0,0.001,10.261722222200000,7.327500000000000
30030,1763,806E,30030,261.33,28.84,138,0.90,0.10,0.82,0.11,16.7,0.19,bc,1,II,0,0.001,10.282611111100000,-21.283333333300000
30063,1766,1045,30063,145.45,45.44,100,1.01,0.10,1.01,0.11,16.4,0.06,dm,1,II,0,0.001,10.294194444400000,64.391666666700000
30158,1769,1050,30158,190.37,56.67,155,0.73,0.10,0.68,0.10,16.9,0.06,dm,2,III,2,"Distorted.UGC5567 at 1.2N to N",10.318666666700000,34.656111111100000
30189,1771,807E,30189,268.65,21.27,7,0.92,0.07,0.95,0.09,16.9,0.26,c,0,II,0,"Slightly curved",10.329694444400000,-31.321666666700000
30232,1773,808E,30232,263.94,27.26,104,0.78,0.07,0.67,0.08,17.3,0.23,cd,1,III,0,0.001,10.341388888900000,-23.958333333300000
30239,1774,1051,30239,136.15,39.74,161,1.10,0.13,1.06,0.16,16.3,0.15,bc,1,II,1,0.001,10.346333333300000,73.284444444400000
30274,1776,809E,30274,272.64,16.39,94,0.89,0.09,0.67,0.12,17.0,0.27,c,0,III,0,0.001,10.352000000000000,-37.491944444400000
30280,1778,810E,30280,270.59,19.24,131,1.11,0.10,1.14,0.12,16.4,0.43,c,0,II,1,0.001,10.354000000000000,-34.033055555600000
30346,1781,811E,30346,272.50,16.92,138,0.99,0.10,0.95,0.11,16.6,0.26,b,0,II,2,"Very faint diffuse arms",10.367500000000000,-36.974166666700000
30430,1782,1058,30430,232.00,51.14,141,1.27,0.11,1.34,0.12,16.2,0.16,cd,0,II,0,Two-layers,10.389472222200000,9.937777777780000
30460,1783,812E,30460,280.90,4.91,14,0.99,0.08,0.98,0.09,16.9,1.58,cd,0,III,0,"Diffuse.Knots.Stars projected",10.395500000000000,-51.533333333300000
30487,1784,1061,30487,249.99,41.62,72,1.57,0.20,1.72,0.20,15.5,0.17,cd,0,II,1,"Star proj.Fine gal.near E side",10.402000000000000,-5.632222222220000
30591,1789,1065,30591,258.69,34.69,169,1.75,0.12,1.57,0.13,15.9,0.41,d,0,II,0,0.001,10.424000000000000,-15.350000000000000
30604,1790,1064,30604,229.96,52.54,96,2.02,0.22,1.96,0.27,15.3,0.13,bc,1,II,0,Two-layers,10.428194444400000,11.739444444400000
30667,1791,1068,30667,263.35,30.20,63,1.16,0.09,1.16,0.10,16.5,0.40,d,0,II,0,0.001,10.441333333300000,-21.316111111100000
30670,1792,1067,30670,216.79,56.22,28,1.81,0.25,1.83,0.26,15.2,0.08,c,0,II,0,0.001,10.441333333300000,20.228055555600000
30688,1793,1070,30688,263.79,29.80,25,1.14,0.11,1.00,0.12,16.4,0.36,c,2,II,0,0.001,10.445611111100000,-21.863611111100000
30714,1796,1069,30714,201.64,58.17,149,3.64,0.34,3.14,0.27,14.6,0.11,cd,0,III,1,"El. gal. at 0.8 SE",10.450333333300000,28.639444444400000
30780,1797,1072,30780,204.49,58.14,113,1.22,0.13,1.15,0.16,16.3,0.10,bc,0,III,0,"Two-layers. V.f.outer disk",10.462000000000000,27.143888888900000
30832,1800,1075,30832,241.29,48.56,5,1.66,0.18,1.48,0.19,15.7,0.16,dm,1,III,1,Bluish,10.477277777800000,3.560555555560000
30835,1801,814E,30835,271.28,21.03,124,1.04,0.13,1.02,0.13,16.3,0.33,dm,1,III,2,0.001,10.477305555600000,-32.921944444400000
30864,1802,1076,30864,203.61,58.48,126,0.82,0.11,0.82,0.11,16.6,0.09,c,0,II,1,"Nest of interact.gals. at 3.5N",10.482944444400000,27.649444444400000
30885,1804,1078,30885,238.29,50.24,112,2.16,0.22,2.16,0.26,15.2,0.11,c,0,II,0,"Dust lane",10.487666666700000,6.128055555560000
30971,1806,1080,30971,172.59,57.01,126,2.33,0.26,2.17,0.28,15.2,0.05,c,0,III,1,0.001,10.502666666700000,44.121944444400000
30978,1807,1082,30978,212.87,57.81,79,1.32,0.10,1.32,0.11,16.4,0.09,c,0,III,0,"Compan.in contact on the left",10.505333333300000,22.730000000000000
30999,1809,1081,30999,149.18,49.33,94,1.14,0.12,1.12,0.13,16.3,0.04,c,1,II,2,0.001,10.510000000000000,60.008055555600000
31011,1810,1079,31011,134.94,39.79,152,1.62,0.22,1.66,0.24,15.4,0.29,c,0,II,1,0.001,10.512666666700000,73.885000000000000
31017,1811,1086,31017,249.83,44.13,161,0.95,0.11,1.12,0.13,16.4,0.18,c,0,II,1,"S-shaped.Interact w.pec.galaxy",10.515944444400000,-3.785277777780000
31037,1814,1087,31037,240.80,49.63,169,3.64,0.47,3.47,0.50,14.2,0.15,d,2,III,0,"Bar. Edges of differ.thickness",10.520333333300000,4.473055555560000
31052,1816,1089,31052,240.18,50.02,40,0.83,0.11,0.78,0.11,16.6,0.11,c,0,II,0,0.001,10.524611111100000,5.023888888890000
31063,1817,1088,31063,194.57,59.32,41,1.25,0.16,1.12,0.19,16.2,0.07,bc,0,III,0,0.001,10.525527777800000,32.356111111100000
31186,1822,817E,31186,266.96,28.51,95,1.45,0.17,1.30,0.19,15.8,0.24,d,0,II,0,Arched,10.552694444400000,-24.543055555600000
31302,1830,1100,31302,232.62,54.17,152,2.86,0.34,2.91,0.37,14.4,0.15,cd,0,I,0,0.001,10.578527777800000,11.197500000000000
31343,1831,819E,31343,278.85,11.89,149,0.93,0.10,0.87,0.12,16.6,0.51,cd,0,II,1,"Diffuse. Slightly curved",10.587000000000000,-44.523888888900000
31423,1834,1103,31423,214.77,58.95,173,1.20,0.10,1.06,0.11,16.6,0.11,c,0,III,0,0.001,10.603722222200000,22.080555555600000
31490,1835,820E,31490,269.39,26.82,44,0.82,0.10,0.78,0.17,16.7,0.32,bc,1,II,7,"In cluster",10.614000000000000,-27.150000000000000
31492,1836,821E,31492,280.78,9.20,39,1.01,0.13,0.97,0.13,16.4,1.06,b,0,II,2,"Dust lane",10.614388888900000,-47.800277777800000
31498,1837,1104,31498,235.31,53.81,8,0.92,0.09,1.01,0.11,16.6,0.12,cd,0,II,1,0.001,10.615055555600000,9.668333333330000
31545,1839,1105,31545,185.03,60.10,112,1.59,0.21,1.46,0.19,15.7,0.06,c,0,III,0,"Double nucleus",10.622805555600000,37.077500000000000
31570,1840,825E,31570,272.70,22.46,38,1.07,0.13,1.02,0.12,16.3,0.29,c,0,II,3,"Curved ends",10.626888888900000,-32.444166666700000
31578,1841,1106,31578,168.38,57.54,109,1.01,0.10,0.97,0.12,16.5,0.09,cd,0,II,1,"Spiral 1.0 at 0.9 W",10.628277777800000,46.042222222200000
31590,1842,826E,31590,271.72,23.99,172,1.75,0.24,1.67,0.33,15.4,0.25,b,0,II,1,"Dust lane",10.631111111100000,-30.668888888900000
31602,1845,827E,31602,270.27,26.11,23,0.98,0.07,1.02,0.09,16.8,0.28,c,0,II,7,"Knot. In cluster",10.634000000000000,-28.170000000000000
31612,1846,828E,31612,269.01,27.87,116,0.74,0.09,0.87,0.09,16.8,0.27,c,0,II,1,0.001,10.636000000000000,-26.081111111100000
31613,1847,829E,31613,282.15,7.26,164,2.26,0.17,2.51,0.21,15.6,2.34,bc,0,IV,0,"Dust lane",10.636000000000000,-50.159722222200000
31645,1850,831E,31645,270.46,26.12,43,0.90,0.10,0.89,0.13,16.7,0.26,d,1,III,4,0.001,10.645305555600000,-28.260000000000000
31663,1852,1113,31663,238.20,53.24,120,0.70,0.10,0.65,0.10,17.0,0.11,c,2,III,0,0.001,10.649333333300000,7.932500000000000
31725,1857,1115,31725,226.85,57.42,0,1.23,0.11,1.14,0.15,16.3,0.14,c,0,II,0,0.001,10.666055555600000,15.598888888900000
31791,1859,1118,31791,257.14,41.96,125,1.49,0.13,1.36,0.16,16.0,0.17,c,0,II,3,0.001,10.680000000000000,-9.011111111110000
31838,1863,1117,31838,137.81,43.47,91,1.01,0.11,1.03,0.11,16.4,0.17,cd,1,II,1,0.001,10.690666666700000,69.706111111100000
31846,1864,1121,31846,160.15,55.87,73,1.27,0.10,1.21,0.10,16.3,0.08,d,0,II,0,0.001,10.691611111100000,50.812777777800000
31929,1867,1126,31929,266.55,32.93,13,1.14,0.13,1.02,0.13,16.2,0.15,d,0,II,0,0.001,10.713472222200000,-20.697500000000000
31981,1869,834E,31981,271.84,26.18,50,1.53,0.21,1.47,0.21,15.6,0.27,b,0,II,0,"Dust lane",10.727305555600000,-28.866111111100000
