"The Catalogue of Principal Galaxies (PGC) Number","Revised Flat Galaxy Catalogue #, Bull. Spec. Astrophys. Obs. 47,5,1999","Original Flat Galaxy Catalog number","PGC number used by Karachentsev et al. astro-ph/0305566","Galactic longitude","Galactic latitude","Position angle; north thru east","Major blue diameter in arcmin on POSS-I system; conv. from ESO/SERC aj: ao=0.8078aj","Minor blue diameter in arcmin on POSS-I system; conv. from ESO/SERC bj: bo=0.7827bj","Major red diameter in arcmin on POSS-I system; conv. from ESO/SERC ar: ae=0.8640ar","Minor red diameter in arcmin on POSS-I system; conv. from ESO/SERC br: be=0.9730br","Total blue magnitude calculated by formula in ref; depends on size, type, surface br, and color index","Galactic extinction in B band","Morphological type in RC3 system","Index of asymmetry: 0=little to 2=pronounced","Index of surface brightness: I=high to IV=very low","Number of neighbors with size from ao/2 to 2ao within R=10ao","Notes describe morph peculiarities or galaxy environment","Right Ascention (J2000)","Declination (J2000)"
1346,81,34,1346,109.88,-54.48,18,1.23,0.11,1.16,0.13,16.5,0.17,c,0,III,2,0.001,0.349972222222000,7.622500000000000
1364,82,40E,1364,326.02,-75.28,49,1.08,0.15,1.05,0.11,16.0,0.03,cd,1,I,1,Knots,0.355722222222000,-40.466111111100000
1368,83,35,1368,104.27,-66.01,37,1.90,0.15,1.66,0.20,15.9,0.11,bc,0,III,2,"LSB disk. Very red nucleus",0.357500000000000,-4.231388888890000
1378,84,41E,1378,312.36,-62.31,121,1.08,0.15,1.14,0.15,16.0,0.06,cd,1,II,0,0.001,0.357694444444000,-54.267777777800000
1422,86,37,1422,113.76,-41.74,161,1.04,0.14,1.01,0.16,16.2,0.31,c,1,II,1,0.001,0.370888888889000,20.608055555600000
1466,88,42E,1466,322.66,-74.10,154,0.90,0.07,0.87,0.09,17.0,0.03,c,0,II,3,"In group or cluster",0.381527777778000,-41.915000000000000
1473,89,43E,1473,336.07,-79.41,26,0.73,0.09,0.67,0.08,16.9,0.05,d,1,II,1,Knotty,0.382638888889000,-35.817777777800000
1498,92,39,1498,116.42,-27.37,140,0.76,0.10,0.69,0.10,16.9,0.30,cd,0,III,2,0.001,0.385500000000000,35.146944444400000
1525,95,42,1525,113.48,-45.88,55,6.16,0.64,5.60,0.60,13.3,0.28,c,0,II,0,Two-layers,0.400750000000000,16.486388888900000
1536,96,46E,1536,305.92,-45.23,9,1.13,0.09,1.06,0.10,16.7,0.13,c,0,III,0,"Slightly curved",0.407861111111000,-71.745555555600000
1568,97,48E,1568,304.15,-35.67,124,1.04,0.10,1.06,0.19,16.6,0.43,d,0,III,0,0.001,0.416361111111000,-81.395555555600000
1609,99,44,1609,107.96,-64.41,14,2.46,0.22,2.24,0.22,15.2,0.10,c,0,II,0,"Dust lane",0.429916666667000,-2.284166666670000
1665,102,46,1665,113.45,-50.84,23,3.14,0.34,2.97,0.44,14.5,0.30,c,2,II,0,Interact.w.compan.at2.4W,0.450805555556000,11.583888888900000
1690,104,50E,0.001,321.58,-75.64,40,1.08,0.15,1.05,0.11,16.0,0.05,cd,1,I,1,"Interact. in group.LSB arms",0.457527777778000,-40.605555555600000
1701,105,51E,1701,337.43,-81.27,60,1.67,0.23,1.42,0.21,15.4,0.04,b,0,I,0,"Round buldge",0.459500000000000,-34.196944444400000
1729,108,53E,1729,308.88,-58.75,30,1.20,0.16,1.16,0.18,16.0,0.04,c,1,II,1,"Dust lane. Wavy",0.467944444444000,-58.102777777800000
1751,109,49,1751,106.45,-69.52,64,1.23,0.16,1.12,0.17,16.0,0.18,bc,0,II,0,0.001,0.474388888889000,-7.390833333330000
1778,110,50,1778,115.08,-46.56,19,1.12,0.15,1.06,0.17,16.3,0.43,c,0,III,2,0.001,0.483277777778000,15.970277777800000
1781,112,51,1781,115.11,-46.63,133,2.24,0.22,2.02,0.26,15.3,0.41,dm,2,III,1,0.001,0.485611111111000,15.900000000000000
1797,113,53,1797,117.43,-31.25,119,1.12,0.09,1.18,0.11,16.5,0.28,d,0,II,1,0.001,0.489833333333000,31.382500000000000
1831,117,55E,1831,314.94,-71.49,15,0.98,0.10,0.95,0.13,16.6,0.04,bc,0,II,0,"Contrast buldge and LSB arms",0.499083333333000,-45.135000000000000
1836,118,56,1836,104.21,-73.38,98,1.14,0.15,1.13,0.15,16.0,0.13,cd,0,II,2,0.001,0.499194444444000,-11.296944444400000
1845,119,56E,1845,318.94,-75.36,104,2.03,0.16,2.13,0.16,15.5,0.06,bc,0,II,0,0.001,0.503388888889000,-41.101944444400000
1926,122,58,1926,90.03,-81.33,0,1.81,0.13,1.81,0.15,15.8,0.09,d,0,II,0,0.001,0.524472222222000,-19.761944444400000
1933,123,59,1933,115.75,-47.98,40,1.40,0.13,1.23,0.13,16.1,0.26,c,1,II,1,"Bright star projected",0.526638888889000,14.612500000000000
1942,124,58E,1942,37.15,-85.61,82,2.80,0.28,2.61,0.30,14.7,0.05,b,0,I,0,"Dust lane",0.530388888889000,-26.720000000000000
1970,126,60,1970,113.46,-59.95,172,1.34,0.19,1.32,0.17,15.7,0.09,d,1,II,2,Knotty,0.541916666667000,2.575000000000000
2080,128,61,2080,113.82,-62.62,156,0.84,0.12,0.56,0.13,16.7,0.08,ab,0,I,3,0.001,0.578750000000000,-0.040833333333300
2098,129,62,2098,119.94,-17.25,86,1.18,0.16,1.04,0.19,16.1,0.29,d,0,III,0,0.001,0.585083333333000,45.529444444400000
2167,132,63E,2167,98.54,-81.27,129,0.89,0.08,0.92,0.10,16.8,0.08,c,1,II,0,"Companions at arms' ends",0.603777777778000,-19.131944444400000
2190,136,68E,2190,306.99,-60.10,107,1.61,0.16,1.84,0.21,15.7,0.05,b,0,II,1,"Dust lane",0.610444444444000,-56.906944444400000
2193,137,67E,2193,20.19,-86.66,154,0.89,0.10,0.87,0.11,16.6,0.07,c,1,II,2,"In triplet",0.611694444444000,-27.816944444400000
2207,138,64,2207,115.88,-59.24,102,1.06,0.15,1.01,0.16,16.3,0.08,c,2,III,0,0.001,0.616972222222000,3.432500000000000
2231,139,65,2231,119.24,-33.62,46,2.24,0.17,1.70,0.21,15.5,0.21,cd,0,II,1,0.001,0.622555555556000,29.148888888900000
2260,141,67,2260,116.67,-57.56,119,1.34,0.16,1.23,0.16,15.9,0.14,c,0,II,1,"2 compact companions at 1.5 S",0.632722222222000,5.148055555560000
2261,140,66,2261,119.64,-30.10,142,1.57,0.15,1.23,0.15,15.9,0.35,cd,1,II,1,0.001,0.631638888889000,32.690000000000000
2383,145,70E,2383,318.45,-80.96,26,1.11,0.13,0.97,0.20,16.3,0.05,c,0,II,0,Knots,0.659305555556000,-35.803055555600000
2390,146,70,2390,117.99,-53.79,98,1.97,0.28,1.96,0.36,15.1,0.23,b,0,II,1,"Second component at 2.7 N",0.660472222222000,8.965277777780000
2458,152,74,2458,120.36,-31.09,74,2.12,0.25,2.02,0.28,15.0,0.26,c,1,I,0,0.001,0.684333333333000,31.733055555600000
2500,157,72E,0.001,321.87,-83.80,135,0.85,0.09,0.67,0.11,16.9,0.06,bc,0,II,1,"Sp. galaxy at 1.0 E",0.697722222222000,-32.971111111100000
2521,160,73E,2521,91.80,-85.89,67,0.95,0.10,0.97,0.11,16.6,0.08,c,1,II,4,"Slightly curved ends",0.702861111111000,-23.591944444400000
2526,161,82,2526,109.18,-80.79,75,3.36,0.30,3.32,0.27,14.5,0.08,d,1,II,0,Two-layers,0.704194444444000,-18.161111111100000
2579,165,77E,2579,303.51,-39.45,10,1.27,0.16,1.14,0.18,16.0,0.27,cd,0,II,1,0.001,0.718305555556000,-77.672222222200000
2581,166,76E,2581,323.75,-85.07,168,1.27,0.09,1.11,0.10,16.5,0.06,c,0,II,0,"V. good representative",0.720000000000000,-31.726111111100000
2640,167,78E,2640,306.00,-68.24,146,1.16,0.16,1.05,0.15,16.1,0.05,bc,0,II,1,"V. faint broadening ends",0.742194444444000,-48.848055555600000
2659,169,85,2659,120.43,-52.34,81,1.12,0.13,0.90,0.15,16.3,0.36,c,1,II,4,0.001,0.753805555556000,10.502777777800000
2669,170,81E,2669,303.21,-35.96,158,0.90,0.08,0.87,0.11,17.0,0.34,cd,0,III,1,"Slightly curved",0.759972222222000,-81.164166666700000
2671,172,87,2671,114.07,-81.10,109,0.99,0.13,0.86,0.15,16.4,0.09,b,0,II,0,0.001,0.761388888889000,-18.331944444400000
2728,173,80E,0.001,304.77,-66.12,6,0.92,0.09,0.54,0.09,17.0,0.06,c,1,II,1,"Curved. Interact. w. Sp to S",0.778277777778000,-50.991111111100000
2747,176,89,2747,121.83,-32.52,177,2.50,0.21,2.26,0.22,15.1,0.27,d,0,II,1,0.001,0.785555555556000,30.341388888900000
2792,178,86E,2792,311.64,-84.64,134,0.92,0.09,0.83,0.12,16.8,0.07,c,1,II,0,"Diffuse. Brtns.grad.Knots",0.793333333333000,-32.420000000000000
2805,179,90,2805,119.90,-72.75,84,3.14,0.43,2.86,0.44,14.3,0.14,m,2,II,1,"Sp. gal. 1.6 at 3.8 N",0.796527777778000,-9.899444444440000
2814,180,90E,2814,303.12,-37.12,68,0.82,0.08,0.80,0.11,16.9,0.26,cd,0,II,1,0.001,0.799111111111000,-80.011388888900000
2841,181,88E,2841,305.39,-76.94,149,1.23,0.16,1.28,0.21,15.7,0.04,cd,1,I,0,Knots,0.808944444444000,-40.173055555600000
2850,182,89E,2850,65.31,-89.26,22,0.80,0.10,0.93,0.11,16.6,0.05,c,0,II,0,0.001,0.810722222222000,-26.731111111100000
2865,183,91,2865,122.29,-34.65,109,1.95,0.22,2.02,0.22,15.3,0.27,c,0,II,0,"Dust lane",0.817277777778000,28.218055555600000
2889,184,92,2889,121.96,-61.75,128,2.18,0.21,2.18,0.26,15.2,0.10,cd,0,II,0,0.001,0.826527777778000,1.116111111110000
2958,191,94E,2958,303.12,-61.52,154,2.35,0.20,1.45,0.24,15.6,0.07,ab,0,II,1,"Thin tail. Br.part 1.1x0.2",0.846416666667000,-55.607500000000000
2978,193,95E,2978,303.10,-65.80,23,1.25,0.09,1.14,0.11,16.5,0.05,c,0,II,0,0.001,0.850166666667000,-51.327222222200000
3009,195,96E,3009,302.93,-69.51,69,0.85,0.08,0.87,0.09,16.8,0.05,c,0,II,2,"F.curv.ends.Patchy.In clust.",0.857194444444000,-47.623055555600000
3038,198,100E,3038,302.90,-40.10,155,0.90,0.07,0.79,0.12,17.2,0.23,c,0,III,2,0.001,0.865555555556000,-77.030277777800000
3088,201,99E,3088,134.39,-88.58,84,0.90,0.10,0.87,0.11,16.7,0.07,bc,1,II,2,"Buldge and curved arms",0.878194444444000,-25.733888888900000
3120,203,101,3120,123.46,-40.94,99,1.20,0.13,1.10,0.15,16.2,0.18,c,1,II,0,0.001,0.885944444444000,21.926944444400000
3133,206,102,3133,123.46,-33.60,159,3.14,0.43,2.49,0.39,14.5,0.23,b,1,II,0,"F. filamentary periphery",0.890722222222000,29.270000000000000
3147,208,105,3147,123.98,-59.94,41,1.71,0.21,1.68,0.21,15.4,0.10,cd,0,II,0,0.001,0.892388888889000,2.924166666670000
3162,209,102E,3162,301.60,-71.94,14,1.27,0.17,1.45,0.18,15.7,0.06,bc,0,I,0,0.001,0.896333333333000,-45.186944444400000
